Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0.0,0.226999998,2.064843323,0.1050546,0.225299999,1.336081195,0.098407013,0.204400003,1.318877637,0.092448444,0.253300011,1.294795182,0.095768758,0.242699996,1.577445975,0.095370286,0.247899994,1.305734564,0.097446158,0.227300003,1.29997825,0.09943782,0.2509,1.303560808,0.099865961,0.225500003,1.310821706,0.094900974,0.262400001,1.311428637,0.095973251,0.225500003,1.310915643,0.095178476,0.215000004,1.30724464,0.097588159,0.242500007,1.431939126,0.093388758,0.197400004,1.309504638,0.098135562,0.25819999,1.299714991,0.094953036,0.239500001,1.838078094,0.096744329,0.180099994,1.293931824,0.097787018,0.204300001,1.325107741,0.105887814,0.183400005,1.317919562,0.099778444,0.222000003,1.331603814,0.101781352,0.1928,1.304146021,0.100457909,0.232500002,1.935978046,0.09711265,0.192000002,1.295149239,0.099985583,0.190099999,1.291206562,0.09747882,0.252200007,1.349351893,0.092321688,0.210500002,1.328609436,0.095565591,0.244299993,1.309429527,0.097410649,0.213699996,1.328564031,0.095601125,0.186900005,1.3135876,0.09611221,0.209700003,2.050776868,0.096710031,0.211999997,1.29710572,0.097358131,0.222299993,1.319895653,0.09734576,0.199499995,1.29958682,0.094580735,0.25999999,1.304285168,0.091848199,0.247600004,1.290724402,0.095473599,0.204500005,1.325072809,0.094710739,0.258899987,1.309818855,0.095030437,0.242500007,1.310847389,0.096539649,0.209099993,1.304935771,0.093553567,0.25940001,2.157660528,0.096719099,0.191799998,1.294161443,0.095216728,0.234500006,1.308697231,0.098250352,0.166299999,1.343796332,0.100119753,0.2359,1.308869349,0.100214818,0.238499999,1.290925628,0.101275061,0.224800006,1.457503433,0.090583585,0.227599993,1.290549582,0.096399125,0.269899994,1.322798035,0.098415864,0.223900005,1.537505803,0.093783335,0.25909999,1.316650388,0.097607676,0.226999998,2.064843323,0.1050546
1.0,0.327600002,1.299208788,0.108081221,0.340999991,1.301443669,0.099513678,0.329899997,1.306020337,0.095343829,0.356999993,1.287786079,0.099951509,0.331900001,1.300818583,0.098784106,0.328999996,1.280608015,0.100033876,0.328900009,1.292788694,0.099970109,0.321399987,2.430182021,0.101327695,0.33950001,1.320510006,0.099174756,0.342599988,1.323495383,0.101069417,0.357300013,1.307026742,0.096615613,0.340999991,1.328231588,0.097688339,0.302300006,1.303888372,0.101802184,0.344300002,1.310449095,0.099686991,0.35620001,1.298899945,0.102801107,0.337500006,1.315307562,0.097808766,0.297899991,1.296937186,0.098388736,0.320899993,1.313519451,0.100621354,0.328099996,1.307910968,0.10182771,0.333000004,2.384729728,0.100142307,0.324000001,1.313645646,0.098733907,0.321200013,1.308656779,0.102536315,0.291599989,1.29283616,0.100854646,0.298900008,1.304374249,0.102684061,0.331699997,1.318744158,0.096140591,0.334300011,1.299670685,0.099654188,0.344300002,1.302417002,0.100072655,0.311100006,1.328315443,0.099301492,0.338099986,1.30302088,0.095753459,0.343800008,1.291829437,0.096214601,0.309199989,1.322626292,0.097515302,0.329400003,2.380224592,0.098731507,0.332899988,1.321704546,0.097719363,0.314399987,1.304985032,0.098372927,0.363799989,2.283931852,0.096200421,0.269499987,1.307733355,0.099833429,0.314999998,1.305739483,0.10202408,0.325800002,1.300943444,0.098661585,0.331999987,1.294906714,0.096419312,0.332700014,1.296712967,0.098766167,0.356900007,1.300755336,0.096357826,0.317200005,1.301492409,0.096866562,0.263099998,1.297672225,0.10261545,0.315899998,2.816788993,0.101641489,0.3292,1.3367217,0.101288481,0.328700006,1.306940669,0.095765769,0.335299999,1.300366383,0.096493197,0.343800008,1.290469973,0.093708456,0.300500005,1.293499264,0.095186496,0.354200006,1.289062307,0.096976033,0.327600002,1.299208788,0.108081221
2.0,0.367199987,1.300005724,0.110162852,0.371499985,1.31100853,0.100455151,0.347799987,1.324424585,0.096924082,0.390599996,1.310996067,0.106263967,0.36500001,1.31250659,0.101147411,0.355399996,1.299160839,0.098170971,0.358900011,1.312550996,0.099049706,0.362800002,1.293360106,0.098100106,0.369899988,1.29723212,0.10229384,0.371300012,1.300647529,0.096929679,0.389299989,1.290419316,0.095731689,0.359800011,1.300505442,0.095119074,0.3574,1.299994864,0.098366335,0.381399989,2.474663319,0.100206134,0.345699996,1.335761342,0.095747566,0.379000008,1.326601958,0.093679303,0.342799991,1.315429334,0.099878696,0.332899988,1.315961767,0.09725563,0.3574,1.307372596,0.096439337,0.372599989,1.310880634,0.098307971,0.378500015,1.30717001,0.097214109,0.354999989,1.308553323,0.096818398,0.330799997,1.31545669,0.097626932,0.325899988,1.31219135,0.102496617,0.373100013,1.286626091,0.093444304,0.362899989,1.303513308,0.097489806,0.384600013,1.311439659,0.096544481,0.370200008,1.31988084,0.09530158,0.367199987,1.296118657,0.100387246,0.374900013,1.334588514,0.094612705,0.3292,1.304449357,0.095790652,0.357800007,1.31107824,0.095170961,0.377999991,1.296504147,0.096464989,0.343600005,1.307361806,0.0956805,0.380199999,1.321370951,0.100004323,0.346899986,1.291953391,0.094320638,0.368999988,1.301221441,0.094923547,0.370000005,1.296205628,0.094816155,0.376199991,1.327315557,0.103426073,0.384299994,1.325651398,0.100163102,0.38319999,1.367573521,0.101031993,0.351099998,1.313565652,0.116789621,0.309700012,1.357509087,0.098672738,0.373100013,1.324344043,0.097483463,0.362500012,1.298357602,0.100896567,0.362800002,1.296909767,0.096551488,0.380199999,1.296812913,0.096865475,0.374199986,1.301556182,0.096725637,0.329600006,1.326057213,0.09379634,0.378600001,2.639982537,0.104905022,0.367199987,1.300005724,0.110162852
3.0,0.389200002,1.312526508,0.107336707,0.384200007,1.311358675,0.114150847,0.376399994,1.303989256,0.098528068,0.406500012,1.321623012,0.097986473,0.38409999,1.293798748,0.102101029,0.370200008,1.291480161,0.102715957,0.37349999,1.288142886,0.095032953,0.389699996,2.522956435,0.106166074,0.394499987,1.364722753,0.106140254,0.387600005,1.395246487,0.099651919,0.408499986,1.322269974,0.09937568,0.377200007,1.313026115,0.095028688,0.390199989,1.343848354,0.098715559,0.404000014,1.320286836,0.10026962,0.370799989,1.307771818,0.09901451,0.399800003,1.337730064,0.09587829,0.359100014,1.299949054,0.093681553,0.351599991,1.312987947,0.104244641,0.370400012,1.340136025,0.101149308,0.384000003,2.529777225,0.103152303,0.391099989,1.348433781,0.099663277,0.38409999,1.32655525,0.096572134,0.325100005,1.316534195,0.097874456,0.362699986,1.3006368,0.097192403,0.394699991,1.325002599,0.098962408,0.381000012,1.303584796,0.095791692,0.400999993,1.338322349,0.095736824,0.397199988,1.324779822,0.096619422,0.379900008,1.321081172,0.095951681,0.379599988,1.29659972,0.093890947,0.348500013,1.31767272,0.0995426,0.383399993,1.305385208,0.097235241,0.400200009,1.323712942,0.095063107,0.362500012,1.353948781,0.100483408,0.408199996,1.325181947,0.104231889,0.373800009,1.302950636,0.095584851,0.389600009,1.328402975,0.106752863,0.399699986,1.410631772,0.100643706,0.385699987,1.323099014,0.099467692,0.395999998,1.308769104,0.097303846,0.399800003,1.336994771,0.094241999,0.377000004,1.302392397,0.096653419,0.343100011,1.29595736,0.096756602,0.402799994,1.298702638,0.102100556,0.380600005,2.596052816,0.103340057,0.386599988,1.309250423,0.107459447,0.391499996,1.318139971,0.097576944,0.394199997,1.300483212,0.098842328,0.368499994,1.305643381,0.095565685,0.388000011,1.30036536,0.099366446,0.389200002,1.312526508,0.107336707
4.0,0.402099997,1.324734848,0.104729148,0.405400008,1.332691763,0.098712233,0.398400009,1.380038737,0.102108304,0.42840001,1.344031235,0.104277459,0.404199988,1.331664602,0.099565494,0.389899999,1.314499267,0.103885305,0.387400001,1.326184318,0.099403711,0.406800002,1.316402942,0.102803265,0.403699994,1.351415045,0.097172043,0.402700007,1.312751778,0.100062794,0.409399986,1.311127229,0.103022685,0.397599995,1.345794998,0.105458318,0.40169999,1.336441615,0.107721837,0.414799988,1.313869471,0.10073304,0.385399997,2.755567692,0.099511518,0.41170001,1.348426367,0.102576933,0.38409999,1.396512857,0.100150011,0.3671,1.323630292,0.100216727,0.399399996,1.346000883,0.097746185,0.405499995,1.304886047,0.09793774,0.40110001,1.304063663,0.102874737,0.395799994,1.298745793,0.102640562,0.357499987,1.330822663,0.104523952,0.378500015,1.340896651,0.107390224,0.411300004,1.319836571,0.093395358,0.390799999,1.288642712,0.099625595,0.415600002,2.563910622,0.099745592,0.407200009,1.311083867,0.100591422,0.398400009,1.355901951,0.099870555,0.400200009,1.356384451,0.101153396,0.370799989,1.315605966,0.099555435,0.388999999,1.342543759,0.09829684,0.411199987,1.313698897,0.100354588,0.392100006,1.315162247,0.100467051,0.421700001,1.32748925,0.105077194,0.398600012,1.316577285,0.097408518,0.406699985,1.326700921,0.105176584,0.416599989,1.321441212,0.101244633,0.397500008,1.29735991,0.099183658,0.408899993,2.597870354,0.09873854,0.407999992,1.340072594,0.097593339,0.394899994,1.32875341,0.099941884,0.360300004,1.303187312,0.104467861,0.416900009,1.324740627,0.101153579,0.394699991,1.312675933,0.100683006,0.406699985,1.368542198,0.095568036,0.412999988,1.420273945,0.098816432,0.401199996,1.339792415,0.103476771,0.392500013,1.331538951,0.100329005,0.399199992,1.334331944,0.100561395,0.402099997,1.324734848,0.104729148
5.0,0.407599986,1.307555038,0.104957324,0.412200004,1.307513697,0.096070561,0.417199999,1.317617493,0.098618961,0.435499996,1.309487155,0.101687042,0.421900004,1.320897378,0.098281966,0.403100014,1.345348796,0.096429626,0.396200001,1.329269861,0.098440921,0.416999996,1.318978683,0.103759674,0.415100008,1.336268777,0.098835861,0.405600011,1.330881286,0.102163871,0.42019999,1.346735947,0.100934879,0.405600011,1.33834809,0.099332168,0.413700014,1.301441951,0.095742947,0.432500005,1.315972918,0.096250673,0.402200013,1.337294533,0.097041588,0.427599996,1.319304653,0.095785034,0.397700012,1.33875459,0.095585839,0.375,1.329436424,0.098727868,0.416700006,1.307275977,0.097308351,0.417800009,1.340877426,0.097130545,0.427100003,1.285891439,0.100341041,0.407999992,1.33234486,0.099066959,0.359499991,1.359381197,0.098194618,0.395500004,1.318366975,0.097893403,0.426499993,1.348924811,0.097109992,0.408899993,1.310144244,0.101548707,0.430400014,1.360586903,0.096390018,0.419,1.310971966,0.097746626,0.413500011,1.317283557,0.097150409,0.4102,1.339722498,0.094165575,0.380899996,1.320976893,0.09453326,0.404900014,1.293426744,0.094912422,0.415300012,1.321046125,0.10267161,0.412,1.410097757,0.095942103,0.427700013,1.333213352,0.101165414,0.412999988,1.349806853,0.099158466,0.405999988,1.347564805,0.094969855,0.431100011,1.326889085,0.095669877,0.398200005,1.359650244,0.09843982,0.410600007,1.340693152,0.096712899,0.421799988,1.329068803,0.095406759,0.407700002,1.320968193,0.09558804,0.379200011,1.332825067,0.098349639,0.41929999,1.289388938,0.095872797,0.415100008,1.323581402,0.098866745,0.416799992,1.316890466,0.095542804,0.425500005,1.338426077,0.094473491,0.410699993,1.312598373,0.09494296,0.399399996,1.314302107,0.096161776,0.406199992,1.341060628,0.094829612,0.407599986,1.307555038,0.104957324
6.0,0.411000013,1.393970018,0.107252867,0.414000005,1.349104199,0.098647269,0.435000002,1.398723884,0.098017215,0.441900015,2.604451939,0.098876691,0.435900003,1.406748967,0.096555588,0.413500011,1.374358733,0.09826472,0.406399995,1.348933725,0.09721103,0.42019999,1.335374309,0.097358647,0.419400007,1.312988537,0.098363223,0.415199995,1.365184143,0.095167631,0.419099987,1.310607293,0.094912361,0.412299991,1.302795485,0.095329485,0.421999991,1.3830492,0.103073214,0.445899993,1.319811535,0.097732625,0.414600015,1.341481643,0.097230135,0.436300009,2.592448881,0.096012695,0.421900004,1.373522665,0.097274431,0.391600013,1.361077793,0.096427262,0.430099994,1.336158488,0.099933615,0.421200007,1.338937789,0.099194953,0.436800003,1.321379589,0.096492459,0.414700001,1.349831032,0.096693425,0.37349999,1.329162704,0.098984862,0.412200004,1.375729585,0.098892978,0.433999985,1.320502843,0.096942413,0.416900009,1.330455257,0.098090627,0.425999999,1.292910716,0.100696068,0.427700013,1.302968088,0.100830715,0.421999991,2.700919445,0.096094298,0.415600002,1.309576841,0.100625822,0.396299988,1.319514883,0.093468713,0.415800005,1.306656261,0.095638701,0.426800013,1.2819481,0.096544182,0.421099991,1.311255666,0.100331356,0.439900011,1.342801937,0.102739827,0.430099994,1.317078941,0.095242979,0.396800011,1.308988922,0.095263514,0.437599987,1.294636906,0.098365709,0.419400007,1.320904104,0.094702339,0.42750001,1.32047489,0.098535744,0.429699987,2.643316053,0.098664997,0.413300008,1.350037782,0.099573512,0.385399997,1.366889205,0.104237101,0.435000002,1.375178525,0.100749039,0.428200006,1.324113176,0.097464621,0.428299993,1.333153259,0.108717406,0.439300001,1.347229521,0.09953993,0.4208,1.312728314,0.101082518,0.4102,1.386568876,0.095712631,0.416299999,1.316544607,0.097287348,0.411000013,1.393970018,0.107252867
7.0,0.419400007,1.318478947,0.111398489,0.4287,1.319680431,0.10560343,0.444099993,1.342239761,0.099332808,0.451400012,1.30764795,0.100822866,0.439200014,1.319855543,0.100544559,0.423799992,1.305998089,0.106315272,0.425300002,1.299133657,0.104151714,0.440299988,1.354869758,0.101290802,0.425900012,1.303984096,0.10281665,0.432599992,1.294035607,0.105624234,0.426400006,1.369328879,0.102096029,0.432700008,1.336382268,0.102837699,0.426499993,1.294124998,0.109520164,0.445800006,1.338842896,0.101715401,0.428499997,1.312669231,0.106661826,0.448300004,1.342701021,0.100945568,0.433699995,1.311369216,0.10020076,0.406100005,1.307963441,0.105831004,0.440200001,1.344830466,0.104546944,0.429399997,1.294413568,0.100915827,0.438899994,1.30000808,0.100883772,0.423799992,1.292552762,0.101677471,0.391299993,2.653171456,0.098602699,0.425599992,1.305625385,0.108534573,0.450300008,1.322820593,0.100281441,0.416700006,1.342503318,0.102777658,0.438899994,1.321016974,0.099313937,0.429500014,1.32231397,0.099841842,0.430500001,1.318233404,0.103609966,0.425799996,1.326829388,0.104284842,0.420899987,1.302761434,0.100982872,0.435600013,1.294748985,0.099778042,0.430000007,1.341019249,0.10264109,0.436199993,1.303460894,0.097865133,0.448199987,1.304374534,0.104462313,0.429399997,1.297970521,0.09865684,0.424400002,1.323023641,0.100531754,0.449800014,1.313788266,0.101427764,0.437700003,1.310564649,0.100224489,0.433600008,1.335734145,0.099231237,0.443500012,1.30491436,0.09902013,0.421200007,1.301928893,0.100009922,0.410899997,1.29116487,0.099420851,0.430700004,1.292573175,0.101110549,0.438800007,1.295618757,0.107154614,0.435499996,1.298375091,0.10131874,0.4463,2.65589451,0.097443669,0.426800013,1.437667189,0.103830305,0.432500005,1.359400787,0.101337142,0.425999999,1.335660247,0.101993651,0.419400007,1.318478947,0.111398489
8.0,0.427700013,1.303831536,0.101440974,0.433899999,1.299690758,0.095194675,0.451099992,1.287745631,0.096379563,0.448500007,1.283681491,0.094279896,0.451799989,1.294966364,0.091689966,0.431400001,2.634780835,0.093976828,0.437299997,1.338942368,0.096747626,0.44659999,1.368259743,0.098381055,0.4366,1.314546293,0.094929965,0.445199996,1.295556451,0.095999709,0.436100006,1.316527305,0.094982182,0.438199997,1.301431907,0.096426522,0.434599996,1.356310839,0.109458444,0.449900001,1.298718801,0.1038236,0.441599995,1.325295992,0.095628228,0.451200008,1.350969594,0.093612669,0.444700003,1.298919384,0.09438546,0.419099987,1.285971922,0.100147891,0.452699989,1.328321173,0.101730435,0.443800002,1.341562779,0.093711774,0.444799989,1.312241771,0.095882794,0.426999986,1.308566312,0.092391309,0.408199996,1.314323822,0.093108683,0.439500004,1.388521653,0.104539824,0.452499986,1.306833086,0.093534259,0.410699993,1.304990558,0.091244773,0.443399996,1.300543781,0.093550135,0.429100007,1.293608101,0.10548762,0.439099997,1.320245061,0.096923296,0.439599991,1.302461914,0.090067497,0.439300001,2.672085985,0.104071146,0.447100013,1.355280476,0.095017931,0.443300009,1.329038424,0.093765302,0.443599999,1.308689758,0.093074633,0.463099986,1.359643438,0.099485471,0.441399992,1.316085312,0.090829936,0.438699991,1.297030665,0.098399683,0.462399989,1.304154798,0.093459231,0.453000009,1.295128914,0.094642181,0.442600012,1.33483319,0.092290653,0.443100005,1.286017648,0.090560322,0.435299993,1.292195847,0.090563312,0.424199998,1.286681141,0.094084553,0.446999997,1.348094482,0.096539416,0.449900001,1.330884487,0.095985785,0.442200005,1.308463313,0.097168608,0.448000014,1.308406286,0.095643137,0.43599999,1.291440271,0.09497909,0.437599987,1.306206313,0.093964548,0.435699999,1.304464597,0.096669281,0.427700013,1.303831536,0.101440974
9.0,0.423500001,1.322129326,0.100810381,0.439300001,1.30365826,0.096932438,0.465499997,1.333254888,0.094890044,0.458200008,1.324125434,0.095180909,0.462099999,1.317595661,0.132068113,0.43599999,1.362420537,0.101550789,0.439399987,1.319510039,0.098647586,0.448399991,1.313794076,0.098036377,0.448500007,1.314421802,0.097746268,0.452899992,1.300767981,0.101902887,0.44659999,1.291041399,0.105509432,0.447299987,1.312528945,0.096780012,0.441900015,1.307037204,0.095712653,0.457700014,1.307549938,0.098155361,0.452800006,1.367077456,0.098660464,0.467099994,1.339119111,0.104114076,0.462199986,1.336079327,0.099630562,0.438199997,1.347454039,0.09980161,0.459500015,1.329454748,0.10457559,0.456900001,1.325582611,0.10118293,0.455900013,1.306411884,0.097504369,0.440899998,1.308475418,0.099249809,0.423900008,1.296846559,0.100935505,0.44690001,1.319927345,0.105258481,0.457500011,1.328412904,0.101566181,0.424699992,1.294502477,0.100512376,0.451000005,3.000869917,0.098860276,0.437000006,1.344690477,0.097591651,0.44749999,1.330807255,0.107812385,0.443399996,1.325797876,0.098038625,0.444700003,1.330702509,0.095116554,0.448300004,1.304300455,0.101404286,0.447600007,1.316309905,0.097449511,0.45660001,1.332556081,0.112552863,0.469500005,1.29920351,0.101680756,0.437700003,1.348599395,0.098379426,0.452499986,1.297333988,0.096159553,0.470600009,1.293657152,0.097354161,0.463,1.333522451,0.096207672,0.449900001,1.383256321,0.099345825,0.460900009,1.359521075,0.094704532,0.442200005,1.328324681,0.096430374,0.437400013,1.322810735,0.095795319,0.4551,1.337491261,0.096949026,0.461899996,1.311147339,0.09542803,0.447600007,1.301942594,0.100438421,0.451700002,1.310459509,0.096501139,0.448199987,1.298508021,0.101495305,0.44659999,1.298612591,0.101408145,0.444599986,2.822687839,0.095532556,0.423500001,1.322129326,0.100810381
