Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0.0,0.653599977,1.589280138,0.082189131,0.671599984,1.543298332,0.075512194,0.659699976,1.487568152,0.076875759,0.719399989,1.510661783,0.074008098,0.711399972,1.496486544,0.074734395,0.689800024,1.803504403,0.072306877,0.653299987,1.517053856,0.072635776,0.694199979,1.501996761,0.073114302,0.699400008,1.511815147,0.075054172,0.682799995,1.491767696,0.072665263,0.679799974,1.507503463,0.075612063,0.648100019,1.500620623,0.074359427,0.684199989,1.538384702,0.07686347,0.671599984,1.519824535,0.079295868,0.685800016,1.511360693,0.077051264,0.670400023,1.512720194,0.078331905,0.713,2.092073511,0.076379222,0.684700012,1.502170821,0.073790619,0.710099995,1.493624121,0.074926146,0.68720001,1.509758033,0.074132035,0.671000004,1.491236458,0.073781679,0.678300023,1.500069373,0.076270574,0.654699981,1.558937513,0.074400567,0.643999994,1.526580006,0.076531476,0.67809999,1.505028147,0.073768344,0.678499997,1.494541018,0.072378494,0.675800025,1.487969263,0.074903754,0.705200016,1.489364407,0.073174708,0.683700025,1.490648336,0.072618664,0.674399972,1.501425371,0.073455704,0.708199978,1.499325293,0.073313247,0.655200005,2.098250328,0.075985019,0.671000004,1.508352472,0.074108719,0.637600005,1.493524327,0.077886063,0.711499989,1.526574191,0.076311295,0.678799987,1.491047578,0.074053797,0.690999985,1.478589893,0.072565682,0.682099998,1.493722243,0.073656872,0.685500026,1.493804534,0.073471146,0.663699985,1.497286178,0.078456965,0.681900024,1.481430704,0.073902367,0.685299993,1.496209678,0.075728963,0.666199982,1.503767615,0.078991436,0.655099988,1.506491672,0.074513115,0.704900026,1.505282119,0.075133528,0.673500001,3.711689874,0.078612991,0.68629998,1.538595189,0.07522823,0.657800019,1.520698519,0.074816268,0.693000019,1.51672349,0.077770181,0.670099974,1.771543294,0.07445702,0.653599977,1.589280138,0.082189131
1.0,0.708199978,1.467994601,0.076308897,0.722199976,1.503403405,0.071713364,0.689300001,1.525119406,0.075132751,0.730599999,1.541048616,0.069332812,0.724099994,1.498794347,0.070616531,0.737200022,1.489960739,0.068719345,0.681400001,1.481310628,0.068255829,0.724399984,1.503332398,0.068842872,0.720799983,1.493687346,0.069677327,0.722100019,2.753406487,0.068988656,0.709999979,1.520355516,0.069482016,0.700500011,1.527131554,0.069669902,0.696500003,1.488545878,0.073705741,0.702099979,1.504155985,0.07513025,0.735599995,1.519600868,0.069934101,0.702400029,1.50557107,0.070837812,0.728699982,1.515600127,0.073639098,0.73210001,1.510697402,0.075452248,0.735000014,1.496540288,0.072112442,0.708500028,1.519909098,0.071009079,0.704299986,1.498669633,0.071699624,0.702199996,1.512423164,0.07101657,0.725000024,1.476539876,0.071683227,0.680199981,1.496480182,0.070135662,0.721899986,1.50118658,0.072080219,0.692399979,1.501589461,0.070395755,0.702199996,1.510617352,0.069805437,0.735800028,1.494718385,0.074801055,0.711300015,1.502010363,0.070900693,0.717700005,1.492744646,0.069435818,0.731400013,1.513070782,0.069831798,0.68629998,1.49012587,0.070452689,0.686200023,1.495152284,0.073558389,0.702700019,2.699588537,0.077662034,0.733799994,1.504584751,0.069958784,0.72329998,1.520651891,0.070203234,0.713699996,1.493567163,0.071916763,0.721400023,1.493125741,0.071277124,0.707300007,1.488444138,0.069689128,0.685199976,1.500518603,0.069884992,0.691999972,1.494237872,0.071911922,0.699299991,1.496274385,0.06733796,0.703299999,1.494548566,0.071270949,0.698499978,1.500608551,0.069114428,0.717599988,1.49708128,0.068804378,0.692099988,1.498940743,0.071673553,0.710200012,1.546338183,0.070711873,0.712499976,1.531619175,0.070633484,0.727199972,1.531198881,0.070283954,0.724900007,1.515602747,0.070554001,0.708199978,1.467994601,0.076308897
2.0,0.738399982,1.516623192,0.076561047,0.7403,1.499743906,0.073332049,0.725799978,1.484587743,0.073516156,0.749899983,1.527724531,0.074319936,0.750800014,1.528740755,0.078227736,0.751699984,1.526201353,0.079400199,0.709200025,1.530848532,0.076113165,0.748700023,1.553048445,0.073039115,0.729600012,1.485975105,0.073816933,0.734899998,1.495957431,0.097778762,0.728600025,1.50094394,0.07431991,0.727299988,1.49946642,0.073252685,0.718100011,1.498983506,0.073950771,0.726899981,1.493048638,0.073959023,0.760500014,1.508303548,0.076278688,0.735599995,1.55320903,0.080360129,0.747699976,1.567182197,0.073179933,0.752499998,1.539105152,0.079426424,0.752099991,1.534968798,0.075950023,0.721899986,1.560449909,0.077125159,0.743700027,1.528888425,0.074220004,0.721599996,1.482431088,0.079501709,0.748099983,1.513223789,0.075550783,0.721499979,1.483558312,0.074649005,0.745599985,1.501213798,0.073777282,0.716600001,1.493599753,0.077103181,0.737100005,1.502117421,0.073859802,0.754199982,2.752918133,0.076943062,0.743300021,1.521628162,0.074547117,0.744899988,1.502697531,0.072475682,0.756500006,1.520530018,0.073242894,0.726000011,1.49755155,0.074814075,0.712899983,1.50654098,0.07387452,0.746999979,1.488881326,0.073935228,0.757300019,1.491371078,0.073749599,0.753799975,1.515364484,0.073987578,0.747200012,1.490981802,0.0762559,0.727900028,1.505534135,0.073084143,0.747200012,1.485268266,0.074466956,0.703499973,1.486956088,0.078641759,0.738699973,1.541785615,0.074446297,0.75,1.505649841,0.078379171,0.735099971,1.495178581,0.073181102,0.727900028,1.510704892,0.074252341,0.739799976,1.501293813,0.073964612,0.723699987,1.497896227,0.074099778,0.725899994,1.502675872,0.073109046,0.732599974,1.497360216,0.076664686,0.754400015,1.483017924,0.072546155,0.744099975,1.491385967,0.07244353,0.738399982,1.516623192,0.076561047
3.0,0.759000003,1.510176925,0.087342604,0.743900001,1.50483653,0.080139391,0.750400007,1.522667046,0.081350301,0.759000003,1.553181032,0.080485348,0.773000002,1.492620306,0.082240125,0.771399975,1.476550403,0.07940353,0.727299988,1.526911073,0.080449969,0.757399976,1.507827949,0.079590622,0.748399973,1.491044005,0.07930314,0.753400028,1.544660214,0.078535065,0.746800005,1.53966997,0.079222965,0.754499972,1.514827492,0.077986191,0.744599998,1.516094216,0.079746231,0.739000022,1.508843107,0.079964399,0.770799994,1.503961071,0.078203592,0.752799988,1.508187633,0.080651659,0.765100002,1.492647196,0.082701757,0.765699983,1.522468813,0.080177551,0.764400005,1.496293772,0.080107565,0.736100018,1.513069938,0.080845688,0.753300011,1.489212773,0.079149532,0.745500028,2.757496052,0.080392347,0.755400002,1.519797971,0.080010246,0.735400021,1.490093386,0.084497851,0.762700021,1.537861247,0.08061654,0.749899983,1.507972746,0.082942888,0.748899996,1.552625077,0.081295938,0.769999981,1.503605293,0.079357375,0.765399992,1.51973728,0.0824111,0.753099978,1.495785356,0.079016601,0.7579,1.498853768,0.077862872,0.743700027,1.487365509,0.080391287,0.724300027,1.491210208,0.07921898,0.761300027,3.233977356,0.083355652,0.769299984,1.488530536,0.083548329,0.762399971,1.55675757,0.082232619,0.754800022,1.517696862,0.082952555,0.745400012,1.541916997,0.081779256,0.758000016,1.502503544,0.081197455,0.709500015,1.538297668,0.07899942,0.763499975,1.499564336,0.079041102,0.760500014,1.480442033,0.079131552,0.752600014,1.498091123,0.082251234,0.732500017,1.497891717,0.083539398,0.751299977,1.516377586,0.083727171,0.733699977,1.505731275,0.082695222,0.751399994,1.556279566,0.080923206,0.741299987,1.499611679,0.087028867,0.772899985,1.499708596,0.078113743,0.758700013,1.50381456,0.077624238,0.759000003,1.510176925,0.087342604
4.0,0.770399988,3.065843971,0.094127364,0.745999992,1.557159411,0.076628169,0.763999999,1.505356927,0.071780172,0.769299984,1.509099855,0.076987217,0.784699976,1.511290563,0.076045279,0.780799985,1.51994199,0.074008809,0.743499994,1.491269784,0.080046836,0.772300005,1.51227335,0.076655848,0.76819998,1.506878674,0.073214119,0.765500009,1.499821584,0.075225468,0.767400026,1.498265315,0.073593692,0.771200001,1.491809091,0.078599914,0.76819998,1.518416911,0.072335653,0.760699987,1.504159282,0.074046273,0.783200026,1.484121607,0.076229582,0.76849997,1.51308835,0.072915595,0.777199984,2.955726266,0.085168351,0.772000015,1.586123513,0.083299551,0.773400009,1.539239561,0.075486619,0.745599985,1.506144384,0.077933317,0.765699983,1.51290605,0.076292196,0.762399971,1.498911293,0.076171787,0.76730001,1.489787634,0.074168795,0.758700013,1.5259806,0.074273142,0.770699978,1.493518756,0.073860969,0.760800004,1.496587858,0.074415052,0.764500022,1.489507091,0.076337558,0.780799985,1.534259124,0.074817837,0.778299987,2.770540299,0.07440551,0.769699991,1.523811909,0.076133671,0.777199984,1.528455462,0.074745967,0.763100028,1.504018377,0.073038418,0.739700019,1.520583132,0.073961153,0.781099975,1.499467667,0.074237177,0.772899985,1.500592114,0.072659483,0.77640003,1.487690259,0.075129792,0.772000015,1.496556792,0.074063117,0.753099978,1.492521766,0.07291801,0.779200017,1.479320282,0.076055637,0.7227,1.483550505,0.073133093,0.774800003,1.48686836,0.075341616,0.77640003,1.523547946,0.075221356,0.758099973,1.512578792,0.075127317,0.755500019,1.480025872,0.075296572,0.764400005,1.503895246,0.075917466,0.743799984,1.503152848,0.074936515,0.753000021,1.510804476,0.07572104,0.746299982,1.56033228,0.079158919,0.779399991,1.520220575,0.07522799,0.766700029,1.496210709,0.073984987,0.770399988,3.065843971,0.094127364
5.0,0.782899976,1.521487633,0.088038744,0.753700018,1.492166613,0.084348232,0.781300008,1.517173466,0.077528454,0.775399983,1.50278972,0.077558848,0.798699975,1.501062958,0.078301261,0.781400025,1.492609167,0.07949381,0.759899974,1.499700671,0.080618131,0.779799998,1.52907033,0.080667448,0.785300016,1.497933373,0.099165532,0.774800003,1.511596402,0.078358686,0.77670002,2.872996303,0.077153152,0.782700002,1.51837365,0.076689,0.779500008,1.496225587,0.081764937,0.766099989,1.523708334,0.07857988,0.79430002,1.519562517,0.07886463,0.782299995,1.501532688,0.081013378,0.785899997,1.527539377,0.087683709,0.779999971,1.508386606,0.08324492,0.784200013,1.506983382,0.081294696,0.755900025,1.490358439,0.077871571,0.777700007,1.540621929,0.084175873,0.77609998,1.502501442,0.07935858,0.775300026,1.477544897,0.078964837,0.773500025,1.513718171,0.080605247,0.786199987,1.564398097,0.079031358,0.767400026,1.506177193,0.07777957,0.778900027,1.535887797,0.076616749,0.792500019,1.525165177,0.077618072,0.790799975,1.492913663,0.079240786,0.780300021,1.493426579,0.076484623,0.792900026,1.491816029,0.074774426,0.775399983,1.493130366,0.076459597,0.746399999,1.49301824,0.08491044,0.790499985,1.493941273,0.082838702,0.784099996,1.493949214,0.076161824,0.784500003,1.494867989,0.080208148,0.782700002,2.893830079,0.077742667,0.75999999,1.52933214,0.07632242,0.790099978,1.491389108,0.076848231,0.736999989,1.558553524,0.078558742,0.780300021,1.517700969,0.076339076,0.784699976,1.508748456,0.075186672,0.772000015,1.492711852,0.074167169,0.776799977,1.478904547,0.078932528,0.779200017,1.498593603,0.079388321,0.750899971,1.487407586,0.077499027,0.75940001,1.522396614,0.078784608,0.758099973,1.553225496,0.081691702,0.786499977,1.529612749,0.078918299,0.778100014,1.550913004,0.076791253,0.782899976,1.521487633,0.088038744
6.0,0.793099999,1.513921545,0.081876372,0.765699983,1.491481922,0.077397602,0.797200024,1.488462498,0.077017076,0.787699997,1.482345342,0.075542253,0.806100011,1.494727793,0.079924676,0.79549998,3.317567213,0.075007912,0.771899998,1.5142366,0.077003026,0.789499998,1.513416246,0.076898617,0.797699988,1.509304986,0.079410094,0.786599994,1.497710107,0.075672945,0.788999975,1.497046354,0.07666779,0.786800027,1.511796969,0.074327819,0.785600007,2.858955053,0.079354464,0.787500024,1.48729588,0.076595985,0.801400006,1.506605878,0.075096342,0.79519999,1.494867214,0.0898752,0.791700006,1.494746577,0.08362038,0.788100004,1.527663193,0.076420362,0.792400002,2.932663224,0.078147724,0.764800012,1.500487405,0.078583444,0.790600002,1.526058442,0.074840783,0.782999992,1.501368095,0.076267648,0.791499972,1.508547679,0.076101976,0.788100004,1.513678794,0.080927082,0.797900021,1.48139279,0.078123141,0.779500008,1.497558102,0.077667935,0.791599989,1.503489027,0.075681545,0.805199981,1.47742953,0.076325493,0.797399998,1.483078877,0.076837721,0.792299986,1.48911108,0.076707248,0.801299989,2.866854392,0.077084097,0.787400007,1.528544594,0.076974867,0.759000003,1.525722079,0.075537825,0.796199977,1.511225494,0.080911486,0.787899971,1.527350638,0.077521104,0.792400002,1.507181549,0.077729743,0.791400015,1.527835256,0.083182722,0.777999997,1.52229851,0.081713946,0.797500014,1.50158824,0.075773292,0.747699976,1.490667536,0.07333307,0.793900013,1.480698603,0.076449575,0.79339999,1.510899887,0.077580167,0.784799993,1.496090533,0.077617235,0.782000005,1.545632342,0.078045346,0.79369998,1.504882579,0.075324043,0.771099985,1.49766559,0.077800015,0.766300023,1.502278702,0.07808032,0.766499996,1.499201215,0.077505475,0.793500006,1.514492568,0.07514803,0.786499977,1.490104156,0.078245312,0.793099999,1.513921545,0.081876372
7.0,0.792800009,1.558931653,0.083201027,0.773899972,1.516098993,0.076471908,0.804899991,1.558833343,0.075573083,0.800000012,1.512422749,0.074710024,0.812699974,1.527669716,0.075067215,0.802399993,1.520157956,0.077846439,0.77700001,1.514808269,0.073753451,0.795700014,1.496795114,0.076789347,0.802600026,1.480899136,0.07643803,0.796000004,1.498829872,0.075816667,0.796299994,1.474878477,0.074234086,0.794799984,1.471938494,0.081441814,0.792500019,1.564555457,0.081578387,0.78549999,3.160124841,0.075196977,0.806500018,1.532703149,0.077797747,0.799300015,1.535924859,0.07619398,0.800400019,1.513517455,0.078450895,0.795700014,1.544576096,0.078413581,0.796700001,1.544382415,0.074922539,0.774999976,1.488857818,0.075119042,0.802699983,1.496667467,0.075041955,0.784799993,1.496865356,0.078072785,0.791599989,1.525085282,0.07976332,0.797500014,1.525320653,0.078239799,0.802600026,1.488701762,0.079146052,0.783299983,1.483424208,0.07869642,0.798600018,1.479736281,0.075751982,0.813000023,1.551911304,0.077277062,0.801900029,1.562853294,0.078341303,0.796700001,1.544105347,0.075571078,0.804899991,1.492289755,0.076327002,0.795700014,1.512281879,0.074875394,0.766200006,1.493282661,0.074064139,0.80250001,1.4823801,0.075636568,0.795599997,1.525549689,0.080833814,0.800199986,1.475465682,0.075790544,0.7949,1.481966307,0.075680162,0.791199982,1.496030233,0.080529084,0.799799979,3.207736697,0.077446723,0.760200024,1.550652573,0.075225739,0.799099982,1.504620281,0.075166127,0.804199994,1.557439626,0.079522098,0.794200003,1.530753729,0.07936378,0.791499972,1.51141855,0.077371953,0.804499984,1.505616476,0.074933962,0.775099993,1.503962681,0.075188548,0.776000023,1.50048483,0.076003592,0.782400012,1.486842574,0.076028549,0.799600005,1.503258734,0.081002584,0.793600023,1.553232961,0.079309366,0.792800009,1.558931653,0.083201027
8.0,0.803300023,1.486186627,0.077152765,0.779999971,1.491242701,0.075355171,0.801500022,1.492608296,0.072099379,0.806999981,1.514463927,0.072830183,0.816299975,1.482203404,0.078036799,0.808799982,1.473354394,0.071913913,0.782199979,1.496013412,0.079886466,0.802399993,1.507831104,0.074344896,0.809899986,3.154937331,0.075844514,0.801999986,1.520804185,0.073855039,0.797299981,1.57359847,0.077057874,0.801999986,1.520377603,0.081929592,0.799099982,1.480596216,0.082327524,0.792999983,1.545740276,0.075146868,0.811999977,1.522388908,0.072886824,0.806200027,1.502367878,0.074797884,0.80309999,1.509063063,0.076407542,0.8028,1.496275786,0.084053399,0.807299972,1.4946309,0.073843169,0.786000013,1.483880245,0.073093932,0.805100024,2.92009273,0.073867631,0.79519999,1.537732441,0.07312405,0.796500027,1.511808973,0.073377902,0.799499989,1.505915189,0.076581563,0.8125,1.518518165,0.074415692,0.801699996,1.520313972,0.077625236,0.802299976,1.507433024,0.073987694,0.815999985,1.505597197,0.074610349,0.806699991,1.504300687,0.072581041,0.799899995,1.545253019,0.074355835,0.812099993,1.522252004,0.083025279,0.802299976,1.51422283,0.09347955,0.775699973,1.474671903,0.075190207,0.809800029,2.965358792,0.073197788,0.794499993,2.899599298,0.075041506,0.80400002,1.522484185,0.073218268,0.79549998,1.521054519,0.073757572,0.798799992,1.500972965,0.07378495,0.80309999,1.505482829,0.07687458,0.776499987,1.494171712,0.07263919,0.803300023,1.506642368,0.075395963,0.800800025,1.502476439,0.075953549,0.80250001,1.479720727,0.076436477,0.800100029,1.497958499,0.07768138,0.811699986,1.509805449,0.07412035,0.784200013,1.518817299,0.07547312,0.782199979,1.570278095,0.074964794,0.795099974,1.508216659,0.074877505,0.805700004,1.556529583,0.071587768,0.799000025,1.500942269,0.076035967,0.803300023,1.486186627,0.077152765
9.0,0.802699983,2.937410895,0.079287011,0.793099999,1.580849214,0.077226349,0.807600021,1.491372969,0.072709877,0.814199984,3.025323337,0.071252453,0.821500003,1.562053012,0.071669417,0.81220001,1.538135828,0.07044369,0.788500011,1.527714124,0.070952228,0.804799974,1.506525277,0.071840518,0.815199971,1.535855951,0.07120094,0.810199976,1.495636329,0.071942005,0.801100016,1.505405926,0.071702465,0.8046,1.474409411,0.073074245,0.809199989,1.556347031,0.076417353,0.804199994,1.494503204,0.076830891,0.818499982,1.501185034,0.073939527,0.813899994,1.475063922,0.073020542,0.807600021,2.945814543,0.075746903,0.814700007,1.545071821,0.077866986,0.809899986,1.541991375,0.07612945,0.789600015,1.550244375,0.073724616,0.810400009,1.504133201,0.072472551,0.799700022,1.513052962,0.076686885,0.800899982,1.485234013,0.072490338,0.804400027,1.579123353,0.079346251,0.81220001,1.532649986,0.072964595,0.802999973,1.482314467,0.07104277,0.807900012,1.487239962,0.073414858,0.816200018,1.459530754,0.070981667,0.810899973,1.467313395,0.074158064,0.808600008,1.544454882,0.074740728,0.819800019,1.572164307,0.073896363,0.808600008,1.54407607,0.076766521,0.784500003,1.525372385,0.078168087,0.81400001,1.541405519,0.075647453,0.803900003,1.54370074,0.083977971,0.806699991,1.522193118,0.072584713,0.799600005,1.499243768,0.071719468,0.805299997,1.494366944,0.073724061,0.805499971,1.486389589,0.072127516,0.788100004,1.48122232,0.070645894,0.811600029,1.484005612,0.074401369,0.802900016,2.825536089,0.075719361,0.805499971,1.545951053,0.074762082,0.80339998,1.561501845,0.075742097,0.817600012,1.539918636,0.072908352,0.792999983,1.582100085,0.075167417,0.787800014,1.559146948,0.077879123,0.808899999,1.539006635,0.073987928,0.809800029,1.497438613,0.076494795,0.805800021,1.490312046,0.069995684,0.802699983,2.937410895,0.079287011
