Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0.0,0.355331898,1.817229409,0.101085191,0.408804536,1.770690904,0.09982179,0.345958829,1.816826124,0.099146365,0.419099569,1.736462774,0.095877408,0.369852483,1.745430427,0.101024929,0.361170858,2.063953979,0.096610326,0.444145679,1.690361371,0.095500932,0.414873987,1.718315688,0.094527462,0.322602957,1.708584204,0.096776753,0.325829744,1.691073456,0.097903831,0.363936692,1.754549776,0.098402624,0.359326988,1.736172392,0.102582325,0.35106793,1.76101562,0.096235967,0.424362332,1.724016416,0.098174183,0.324600488,1.694954135,0.097311573,0.339658886,1.702509545,0.101261608,0.406807005,1.859399146,0.097834096,0.285072207,1.7108641,0.098929445,0.25864321,1.750311665,0.096597619,0.360210508,1.712944924,0.095189387,0.290027648,1.694564363,0.094690024,0.381453604,1.698919497,0.095984604,0.37012139,2.377419494,0.102156382,0.373732328,1.748373886,0.099965841,0.364013523,1.697978514,0.096559862,0.347034425,1.672146187,0.104593351,0.346074075,1.69982818,0.101513369,0.352143526,1.755592036,0.095580511,0.365550101,1.724878128,0.09640445,0.370736003,1.705077102,0.100387123,0.361708671,1.745877014,0.095311616,0.37891826,1.687507893,0.108396794,0.387715131,1.689473826,0.096292771,0.36451292,1.689356602,0.09704607,0.346996009,1.846247996,0.100369573,0.420328826,1.684632642,0.114312742,0.388329744,1.741357228,0.09724477,0.292793483,1.689864285,0.098962267,0.299554408,1.68577216,0.096297629,0.300553173,1.776355954,0.098002528,0.364320844,1.772870948,0.100569279,0.395820528,1.756383888,0.097273627,0.240934238,1.715048114,0.09387761,0.355754465,1.7503273,0.094850691,0.361401349,1.731533705,0.096936777,0.359672725,4.247578387,0.095663347,0.373348176,1.758350414,0.096604938,0.306238472,1.732462102,0.103173493,0.382029802,1.735638469,0.097205717,0.39132607,1.757373158,0.095869274,0.355331898,1.817229409,0.101085191
1.0,0.569184065,1.709961827,0.09576174,0.588544846,1.681139466,0.098300815,0.575560868,1.71392333,0.106190327,0.594960034,1.752530651,0.090589035,0.540603876,1.767938477,0.097751302,0.546442866,1.696604574,0.09003659,0.562538385,1.70844719,0.093380159,0.558236003,3.144356772,0.090509979,0.510909677,1.791603125,0.090358651,0.538952053,1.751047036,0.090701948,0.558620155,1.708044858,0.090776354,0.601452053,1.717679063,0.092104247,0.585241258,1.677245427,0.091562714,0.581476629,1.751941433,0.091650517,0.584741831,1.81970475,0.089461648,0.589735687,1.766347644,0.091087841,0.586393654,1.723773963,0.090413782,0.58170712,1.693694249,0.089696246,0.573448062,1.696393759,0.096265908,0.592770457,1.681703828,0.090434394,0.612323284,1.698313062,0.091215158,0.567455411,1.707234835,0.091037302,0.590619266,1.758226346,0.089904064,0.589044273,1.737041213,0.134321787,0.616702497,1.755059872,0.095757525,0.583935142,1.77032764,0.09156332,0.562077463,1.710980003,0.092257413,0.591541171,1.734115227,0.093030948,0.579940081,1.70483485,0.090385047,0.618431151,1.708436257,0.092517909,0.59995389,1.711079717,0.089704181,0.581745565,1.701484179,0.091492411,0.569184065,1.713050132,0.09267155,0.537838042,3.025705807,0.090670768,0.558812261,3.21485584,0.09149394,0.58163029,1.704228667,0.091013627,0.60379535,1.732864047,0.092513361,0.531999052,1.714463833,0.092107636,0.551974475,1.67144195,0.088684704,0.51056391,1.684165984,0.097786113,0.585394919,1.720717667,0.090540476,0.608020902,1.694817859,0.114477927,0.579210222,1.741868183,0.093916968,0.60579288,1.697856378,0.089844213,0.538145363,2.901971085,0.090388815,0.592655182,1.761037326,0.09071856,0.568953574,1.76195193,0.091237459,0.596458197,1.735620632,0.091192979,0.594998479,1.729999012,0.096638042,0.607521534,1.697682662,0.09670112,0.569184065,1.709961827,0.09576174
2.0,0.678972006,1.686728574,0.102880782,0.653311312,1.730018817,0.095596824,0.675130606,1.764414836,0.093181821,0.688498795,1.794346501,0.093485214,0.660187483,1.760002507,0.099183367,0.630378008,1.70462961,0.09570224,0.681430519,1.701232441,0.094434398,0.684810996,1.708169163,0.092762794,0.654118001,1.745353284,0.093965785,0.641364455,1.714747282,0.09379435,0.653849125,1.672235264,0.092673355,0.696027994,1.658460038,0.095677785,0.684042692,1.751675606,0.098240991,0.655846655,2.971217822,0.09310566,0.689074993,1.769177104,0.093495952,0.676167786,1.756299967,0.093439532,0.699331582,1.755477461,0.092916791,0.692993224,1.756314289,0.093254794,0.692224979,1.728895937,0.092991036,0.666180074,1.693572307,0.091841435,0.704287052,1.745662658,0.092897043,0.685387194,1.702690649,0.093899106,0.695605397,1.708493062,0.1151188,0.686347544,1.695731742,0.096831606,0.704363883,1.670397218,0.09928682,0.673056245,1.716186021,0.10692847,0.667716682,1.722193605,0.108072617,0.704978466,1.947799943,0.096247207,0.647472322,1.778687839,0.095848863,0.702673614,1.729923488,0.094976692,0.686270773,1.72820509,0.09892651,0.662031353,1.759521598,0.095719964,0.704210222,1.701940448,0.093682548,0.639789462,1.733889603,0.099076199,0.649777174,1.67950176,0.094892349,0.68949753,1.693544806,0.099660497,0.703365088,1.687002454,0.099940601,0.655923486,1.696106653,0.097599776,0.683236003,1.669336761,0.09969813,0.673478782,1.753779999,0.094260022,0.660456359,1.763815354,0.107003519,0.685540855,1.730768556,0.093778061,0.686654866,1.734974273,0.095664069,0.665027678,1.719787424,0.097172083,0.650852799,1.703696916,0.09109552,0.690649986,1.698809228,0.096488497,0.67989397,1.725309325,0.093844847,0.673978209,1.723676997,0.092907638,0.693108499,1.695041197,0.092646626,0.69710356,3.033935815,0.09460061,0.678972006,1.686728574,0.102880782
3.0,0.724224031,1.760977268,0.100754756,0.679701924,1.693307309,0.103675066,0.703096211,1.738841766,0.099619309,0.709280908,1.720012284,0.096937872,0.709434569,1.6792962,0.094220947,0.703864455,1.728444864,0.095146872,0.729294717,3.22132369,0.095469554,0.712968647,1.768054203,0.093547637,0.709280908,1.726182113,0.094461943,0.713391185,1.747179822,0.100023275,0.70870465,1.705000732,0.095000309,0.724877059,1.682815125,0.094478032,0.728526413,1.735406989,0.094863443,0.712699771,1.671801105,0.096131162,0.728103876,1.681068522,0.099224876,0.718615532,1.706391588,0.102159734,0.737476945,1.758134796,0.102141686,0.73559463,1.703456715,0.094586802,0.743507981,1.706728602,0.095239279,0.713083923,1.790480973,0.094811356,0.747426271,1.732381826,0.094154733,0.73183006,1.701021863,0.094405525,0.744890928,1.699450313,0.095771716,0.727105081,1.739485904,0.100983643,0.74047327,1.695780863,0.099520605,0.726144731,1.713580935,0.095526715,0.725414872,1.73057781,0.101648537,0.744084179,1.774749262,0.097183661,0.711662591,1.722896964,0.095745241,0.748540282,1.748716291,0.099878108,0.736478209,1.688147571,0.110220095,0.69798708,1.78849094,0.095910114,0.750576198,1.758815277,0.095785344,0.687346339,1.748272281,0.095857409,0.711393654,3.295302855,0.095282611,0.737784266,1.72005047,0.11682659,0.744429946,1.69238249,0.092614804,0.713890612,1.743022295,0.097575127,0.731522739,1.729337057,0.099818822,0.717808843,1.691914284,0.103045047,0.694145679,1.718879659,0.0943625,0.742662847,3.024767213,0.102822866,0.745236635,1.779600223,0.115492266,0.699177921,1.825947259,0.098384135,0.695643842,1.728199423,0.097156667,0.743046999,1.695770667,0.094233404,0.739167154,1.74290765,0.098378016,0.727412403,1.715713037,0.100843802,0.720651507,1.73457143,0.097493971,0.736670256,1.718912023,0.106037097,0.724224031,1.760977268,0.100754756
4.0,0.755954206,1.716115176,0.1020139,0.715004623,1.75995904,0.099241603,0.729678869,1.728775709,0.098902006,0.741817772,1.684479153,0.106710015,0.736631811,1.696628963,0.097651695,0.736401379,1.745349169,0.11131559,0.750307322,1.704550784,0.096398704,0.742586076,1.705670749,0.094662104,0.743853748,1.673750659,0.10210644,0.735786736,1.691925708,0.100084911,0.736939132,1.745752349,0.096999005,0.764635861,1.734503754,0.097364803,0.74992317,1.73344579,0.097297379,0.739820242,1.746998236,0.095512621,0.762638271,1.742476358,0.098695683,0.746619523,1.70106307,0.095503652,0.763368189,1.695067228,0.105359784,0.766979098,1.720438468,0.097522063,0.762945592,1.729487678,0.122875426,0.751498163,1.693937846,0.096841847,0.759373069,1.682962352,0.105392114,0.747733533,1.700967135,0.102945872,0.77312541,3.668899092,0.101233292,0.745582342,1.729474473,0.097573539,0.751459718,1.736738013,0.09835031,0.756299913,1.734744119,0.101089206,0.760102928,1.818531074,0.103549016,0.770782113,1.751965566,0.097705922,0.733405054,1.687516159,0.097125721,0.767901063,1.688228085,0.096887526,0.756645679,1.705404283,0.104088019,0.737400115,1.700979896,0.100812201,0.775468647,1.705339375,0.095559458,0.727374017,1.718605619,0.112397574,0.760141373,1.701103868,0.099428744,0.740972638,1.651554409,0.096495191,0.767824233,3.349284482,0.099024503,0.736977577,1.692606841,0.094840736,0.753918231,1.746890465,0.097894046,0.766979098,1.688601981,0.094321649,0.714889348,1.701417733,0.095602126,0.776505828,1.723115947,0.095309098,0.764943123,1.690475638,0.096031108,0.746773183,1.689011033,0.097117547,0.723186851,1.701575203,0.095922208,0.765634596,1.712972459,0.104580508,0.765711427,1.74383408,0.099290749,0.73839891,3.138635358,0.101524354,0.748847544,1.731442099,0.097689566,0.755262733,1.845857288,0.096059829,0.755954206,1.716115176,0.1020139
5.0,0.76824677,1.705548436,0.108196235,0.748117685,1.706791619,0.097912573,0.753534138,1.664303035,0.097251461,0.760141373,1.67466244,0.097989731,0.750729859,3.175387225,0.097060413,0.765596211,1.739564175,0.099933623,0.748617113,1.76661492,0.099491546,0.772818089,1.779801816,0.098885309,0.766556561,1.696560175,0.09553469,0.754110336,1.727020086,0.100797105,0.746196985,1.760983753,0.102999009,0.779540539,1.72435267,0.097455642,0.767708957,1.692787426,0.097532349,0.771896124,1.692792648,0.096332085,0.779118001,1.721260092,0.096012672,0.756184697,1.695338018,0.097763356,0.771243095,1.744827183,0.096602135,0.77984786,1.715033827,0.09668568,0.773163795,1.774704654,0.096646079,0.757068217,1.794211678,0.098609085,0.774585128,1.721474433,0.095160238,0.769668102,1.752245035,0.09694131,0.78841424,1.671642919,0.098606388,0.777466178,1.752004277,0.101661607,0.767440081,1.697274339,0.09589941,0.76736325,1.677238669,0.104339099,0.77312541,1.728977054,0.097006733,0.786339879,1.739456685,0.098031159,0.775276601,3.068183283,0.097455677,0.778925955,1.739987211,0.098871808,0.766863883,1.742872552,0.094737365,0.769514441,1.69271129,0.097768834,0.787069738,1.728842458,0.096151798,0.745505512,1.670318779,0.096543445,0.75295788,1.72361927,0.099017055,0.759296238,1.70400289,0.096170364,0.782882631,1.664349971,0.095608454,0.757798076,1.667740477,0.096919169,0.773279071,1.686104602,0.097694152,0.773394287,1.670226785,0.096793193,0.736747086,1.705137668,0.093890947,0.788606346,3.037194987,0.096665114,0.78649354,1.778369199,0.096462206,0.779809475,1.746455583,0.101662819,0.759949267,1.717787423,0.107098724,0.778234482,1.710743566,0.096437694,0.779233277,1.679929605,0.100341443,0.749884784,1.703891717,0.099786559,0.769936979,1.716290827,0.098021753,0.767939448,1.691056813,0.111476185,0.76824677,1.705548436,0.108196235
6.0,0.776275337,1.704340455,0.104740343,0.762753546,1.723207424,0.102083835,0.768784583,1.700069023,0.095194039,0.783381999,1.753047774,0.099145477,0.768477261,1.72198262,0.09344253,0.777466178,1.698390116,0.094938558,0.758335888,1.700351849,0.10084628,0.786954522,1.660187839,0.097404176,0.779540539,1.763764259,0.099148286,0.764366925,1.649507392,0.095118088,0.741395235,1.667864352,0.104168491,0.785302699,3.021760045,0.09893047,0.772664428,1.709426962,0.095106762,0.784880161,1.74059568,0.095782838,0.783228338,1.685326926,0.09657666,0.780078351,1.713001382,0.096833069,0.787645996,1.725479073,0.094952098,0.78841424,1.73374148,0.100735378,0.787146568,1.701854513,0.095002886,0.780308843,1.690923778,0.09522227,0.779118001,1.664415348,0.096960193,0.781115532,1.648602289,0.096730028,0.800437927,3.046175906,0.101822158,0.781269193,1.707482364,0.096207283,0.76728642,1.765265876,0.095927643,0.781960666,1.701244174,0.093703707,0.782421649,1.684089169,0.098550937,0.797518432,1.716217781,0.096364153,0.783343554,1.69051128,0.094853735,0.789605081,1.719113142,0.094692557,0.76928395,1.659859547,0.102252665,0.777274132,1.64495616,0.095606754,0.800207436,1.696672979,0.111382288,0.764789462,1.678203357,0.095337463,0.772395492,1.664757853,0.106481086,0.772011399,1.666113336,0.096739571,0.784342349,3.157544458,0.102914776,0.767747402,1.792026834,0.103464829,0.791717887,1.740627326,0.106440742,0.784726501,1.73006234,0.097387289,0.74719578,1.730733555,0.097118104,0.793984354,1.6759408,0.099493949,0.797326386,1.682506188,0.109286623,0.781077147,1.702187463,0.096839309,0.781115532,1.691626474,0.09540693,0.785302699,1.676150143,0.095545187,0.790219724,1.681475008,0.096302474,0.76160109,3.053036616,0.100575938,0.782460034,1.717647002,0.100581659,0.774930835,1.713670001,0.095572227,0.776275337,1.704340455,0.104740343
7.0,0.791871548,1.682302543,0.097358241,0.778311312,1.683086462,0.096082846,0.779271662,1.702600826,0.091225427,0.794445276,1.702922993,0.091067826,0.774661958,1.653491645,0.1008505,0.789489865,1.719416314,0.091846336,0.762254179,3.27194652,0.092206653,0.789681911,1.750012449,0.092128316,0.789566696,1.70745871,0.095166351,0.774854004,1.696053803,0.09864068,0.72894901,1.723300803,0.098367739,0.796673298,1.699799583,0.093356278,0.77984786,1.708461182,0.090674791,0.795252025,1.700781198,0.09200871,0.799708068,1.652626252,0.092105319,0.793830693,1.708819864,0.092501193,0.797595263,1.714198578,0.094907433,0.793254435,1.670440448,0.092438352,0.794291615,1.704723994,0.093237721,0.78929776,3.17302958,0.097062387,0.792102039,1.715883264,0.097381267,0.790450215,1.711698166,0.097134051,0.803741574,1.703522255,0.092874526,0.793677032,1.751098517,0.092352297,0.780155182,1.71525987,0.094636178,0.791909933,1.71091279,0.098551168,0.790373385,1.779052948,0.090631058,0.80489397,1.692061933,0.09162214,0.795021534,1.698646646,0.100655217,0.798171461,1.687403686,0.092700196,0.779655814,1.700717604,0.0921303,0.798709273,3.486029311,0.10072022,0.803050101,1.789670321,0.092472724,0.781614959,1.744379854,0.096334198,0.779386938,1.709062438,0.091918027,0.789605081,1.731751921,0.09434336,0.788644731,1.752766715,0.092831871,0.776813149,1.734095075,0.098174352,0.80281961,1.678012254,0.094843875,0.796826959,1.686635018,0.096784128,0.751728654,1.663875615,0.091145416,0.805278122,1.670014279,0.096592365,0.802435458,1.67196585,0.097010335,0.796711743,1.697656905,0.092199041,0.794137955,1.739442431,0.093043031,0.795175195,1.70954871,0.094113136,0.802397072,1.713714624,0.100669334,0.775507092,1.692614945,0.091941697,0.794406891,1.674729766,0.098044007,0.788145363,1.669691501,0.107932748,0.791871548,1.682302543,0.097358241
8.0,0.789720356,1.726445202,0.107282582,0.791333735,1.733668675,0.097731181,0.786954522,1.70373305,0.097872893,0.801244617,1.728766491,0.095512092,0.780308843,1.791101467,0.096136466,0.787876487,1.725653776,0.099347572,0.768630922,1.704004846,0.101343232,0.790565431,1.754878403,0.099427649,0.794906259,1.713375257,0.09497422,0.775968015,1.658511151,0.096844994,0.73951292,1.699959034,0.10160426,0.80385679,1.661622282,0.111265514,0.788836837,1.738931917,0.095436757,0.799976945,1.650476587,0.097060686,0.798670888,1.671455057,0.099392763,0.804586649,1.669356122,0.100616113,0.807928681,1.781020623,0.101537337,0.800245821,1.769215733,0.097543877,0.79617393,1.697972245,0.094310076,0.79705745,1.707300907,0.095553719,0.791756272,1.687820427,0.095909335,0.795098364,1.711398118,0.10130471,0.800860465,1.683065306,0.101181007,0.798594058,1.688428451,0.092383898,0.787185013,1.685182196,0.094614276,0.796327591,1.653157997,0.133432854,0.796865404,1.661877494,0.104330533,0.809849441,1.680550901,0.143360457,0.801398277,3.811319123,0.11004075,0.800937295,1.759377467,0.099492294,0.779502153,1.759525117,0.09981388,0.801513493,1.714850209,0.100710452,0.808082342,1.767684191,0.097352829,0.784265518,1.706862887,0.098974253,0.790104508,1.711149049,0.099766351,0.797211111,1.66559062,0.099693328,0.791525841,1.707594963,0.09949079,0.792370915,1.675552436,0.099607447,0.810156703,1.69945686,0.115857051,0.805854321,1.700838837,0.096730284,0.766172409,3.238108747,0.096127104,0.805815935,1.719821359,0.096912209,0.811770141,1.695060053,0.09663394,0.799746454,1.741580162,0.100117555,0.794368446,1.739171628,0.095676005,0.804970801,1.715066749,0.097798063,0.808159173,1.698583414,0.096982329,0.788299024,1.654442392,0.097777475,0.796289206,1.659072192,0.095873706,0.796519697,1.681967702,0.103113227,0.789720356,1.726445202,0.107282582
9.0,0.797633708,1.740745862,0.105884411,0.796750128,1.68819997,0.100306223,0.796250761,1.714222948,0.100634253,0.804432988,1.742056901,0.100864843,0.771742463,1.681279856,0.09844384,0.799400747,1.692515585,0.10740623,0.775814354,1.695408853,0.101608044,0.788913667,1.719264021,0.132243893,0.796980619,1.676302048,0.09731332,0.793331265,1.671238374,0.099635465,0.738206804,3.384439054,0.101914317,0.809350014,1.761739372,0.10333635,0.801513493,1.688015891,0.100670249,0.80954212,1.711535249,0.098787957,0.800937295,1.788265434,0.097203634,0.80393362,1.720173414,0.102860831,0.81346035,1.691792971,0.1008831,0.809234798,1.694099324,0.09965243,0.80570066,1.673337388,0.103526922,0.802934825,1.73435338,0.105178069,0.802089751,1.658886102,0.103185297,0.806853116,1.717155279,0.121881371,0.805201292,1.743792239,0.103970209,0.802934825,1.727119105,0.129078231,0.792601407,1.810482478,0.110079132,0.802781165,1.755244388,0.103113275,0.805009246,1.735067442,0.102214584,0.816840827,1.75176084,0.099336552,0.801782429,1.697193664,0.10388259,0.804932415,1.690683416,0.100757925,0.776428998,1.724595059,0.099024734,0.800053775,1.689568443,0.101942768,0.809196353,1.673856689,0.102701352,0.792025208,1.693071218,0.100786441,0.797979414,1.739109682,0.10293783,0.804586649,3.159755802,0.101186095,0.795751393,1.71613762,0.099269214,0.799285471,1.738865512,0.101475255,0.819721878,1.712033029,0.101567984,0.812115848,1.724235878,0.099550069,0.777581453,1.671030333,0.097448901,0.811693311,1.70480671,0.098480995,0.815073729,1.722680991,0.096855623,0.807928681,1.666004374,0.096602174,0.79993856,1.647524427,0.100256631,0.795712948,1.734057265,0.104892823,0.812884152,3.693853768,0.103050821,0.791410565,1.755724615,0.100225824,0.798440397,1.719551758,0.099621755,0.799477577,1.724239719,0.097051326,0.797633708,1.740745862,0.105884411
