Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0.0,0.813499987,1.138709022,0.019446901,0.789900005,1.126549411,0.014708544,0.839900017,1.132122034,0.01422057,0.832000017,1.607672188,0.013946908,0.835500002,1.206541323,0.013867337,0.824999988,1.142042829,0.013830626,0.834900022,1.126029009,0.014171144,0.847199976,1.139997273,0.013807508,0.840799987,1.132607005,0.013780928,0.817900002,1.15160805,0.013610217,0.846099973,1.123253068,0.013868466,0.825200021,1.148815532,0.014190422,0.809499979,1.127052575,0.014618789,0.803900003,1.155894793,0.014985619,0.823499978,1.151705933,0.013907023,0.795599997,1.140997839,0.013766905,0.840799987,1.155606122,0.013793047,0.826900005,1.119871718,0.013694633,0.828100026,1.120798029,0.013902517,0.787500024,1.138371677,0.014062188,0.840300024,1.128932406,0.013866575,0.817600012,1.107422205,0.014154969,0.80250001,1.09391771,0.014015556,0.837199986,1.10917861,0.013915969,0.83950001,1.108998153,0.014362866,0.812900007,1.090076515,0.014022128,0.82950002,1.107341715,0.013612259,0.834599972,1.875579932,0.013731702,0.850099981,1.095504778,0.01373134,0.850600004,1.086698117,0.01388223,0.842700005,1.103938023,0.013781901,0.754400015,1.109399602,0.013810789,0.854200006,1.121728933,0.013714231,0.848500013,1.070080243,0.013681519,0.763700008,1.138590032,0.014401979,0.846099973,1.080302348,0.014160398,0.79519999,1.128443262,0.013879362,0.8398,1.079781585,0.013709142,0.834999979,2.007569008,0.01365256,0.833400011,1.076788714,0.013683019,0.828400016,1.095649076,0.013669644,0.808499992,1.089178935,0.013490303,0.837100029,1.100135803,0.013454601,0.838800013,1.08080061,0.013502471,0.865700006,1.087487052,0.013462775,0.829100013,1.175898628,0.01495419,0.779999971,1.152057161,0.014126672,0.824800014,1.133532902,0.014283199,0.82130003,1.12482682,0.014363343,0.815100014,1.144182055,0.015801024,0.813499987,1.138709022,0.019446901
1.0,0.900200009,1.104564069,0.015631743,0.878600001,1.078026357,0.014348081,0.880900025,1.089867149,0.013974104,0.887600005,1.083872045,0.01382409,0.869599998,1.107899029,0.013833992,0.873399973,1.073518672,0.013703767,0.858399987,1.084136262,0.013691365,0.907100022,2.492826582,0.01374275,0.894999981,1.116666204,0.013697577,0.886900008,1.109822159,0.013709446,0.89230001,1.10579051,0.013705195,0.876999974,1.109658086,0.013735312,0.871399999,1.070963817,0.013958015,0.884199977,1.112300913,0.013899184,0.894299984,1.115024462,0.013736143,0.876299977,1.118941911,0.013631784,0.903800011,1.09873532,0.013834885,0.879400015,1.08734822,0.013530514,0.881799996,1.083395211,0.013681186,0.861500025,2.440568189,0.013631433,0.895399988,1.114197888,0.013770268,0.88349998,1.112560342,0.013476274,0.881099999,1.113542083,0.013733404,0.891300023,1.075807264,0.013943542,0.888000011,1.09763334,0.013925886,0.889100015,1.103730435,0.014838895,0.867900014,1.111541969,0.013496581,0.885399997,1.092002808,0.014153416,0.904100001,1.145683838,0.013866233,0.894900024,1.086791409,0.013833128,0.881900012,1.118558999,0.013771883,0.864700019,2.37333839,0.013737636,0.894200027,1.11087628,0.013719929,0.908200026,1.089530874,0.01366905,0.882000029,2.623515971,0.013871935,0.882099986,1.082565106,0.014044931,0.878099978,1.070039696,0.013691059,0.887399971,1.082359872,0.013786835,0.903299987,1.081859382,0.013695463,0.877200007,1.085371823,0.013551044,0.888899982,1.112230737,0.013598888,0.879499972,1.065590857,0.01369381,0.888000011,1.064769535,0.013613298,0.90140003,1.073160934,0.014108389,0.897400022,1.084530625,0.013563047,0.887099981,1.107898531,0.013809525,0.871800005,1.109263135,0.013887956,0.889400005,1.141511798,0.013908812,0.878700018,1.091532715,0.01395377,0.899999976,1.091764742,0.013849284,0.900200009,1.104564069,0.015631743
2.0,0.924099982,1.124377773,0.019014539,0.915600002,1.068135757,0.014695465,0.911000013,1.103027689,0.013760029,0.907899976,1.106663575,0.013542301,0.893599987,1.1482603,0.013504795,0.882300019,1.08659357,0.013461447,0.891700029,1.08368454,0.0136658,0.921000004,1.07223686,0.013664654,0.925199986,1.110888552,0.013328225,0.914099991,1.085842508,0.013396019,0.919499993,1.06544708,0.013453671,0.888000011,1.077328777,0.013534814,0.88410002,1.083344224,0.014410929,0.908800006,1.071540357,0.013746625,0.912599981,1.108706938,0.013560545,0.91079998,1.154468465,0.014139194,0.925700009,1.137709642,0.013572614,0.914300025,1.143329402,0.013616098,0.905200005,1.082781035,0.013349473,0.893599987,1.078288705,0.013366938,0.921299994,1.076063913,0.013848545,0.912699997,1.073954396,0.013088657,0.916800022,1.084953106,0.013350772,0.918099999,1.069020213,0.014085494,0.916999996,1.100218142,0.013819007,0.914300025,1.201113658,0.013480385,0.898500025,2.980907974,0.013336383,0.890799999,1.117440899,0.013290297,0.924600005,1.128436086,0.013717648,0.916999996,1.120013316,0.013246197,0.91170001,1.129735854,0.013759765,0.898400009,1.13076717,0.013505129,0.916999996,1.128742129,0.013445607,0.924899995,1.123978133,0.013343083,0.909399986,1.080807427,0.013927338,0.912999988,1.105746242,0.013734415,0.92019999,1.09081749,0.014011478,0.900099993,1.079295263,0.013292188,0.924199998,2.554850273,0.013259496,0.907400012,1.146649969,0.013546038,0.909200013,1.122921448,0.01335508,0.90109998,1.128602345,0.013373038,0.90990001,1.109136483,0.013173884,0.922399998,1.094476688,0.013389688,0.917299986,1.114389568,0.013618818,0.922800004,1.074168482,0.013969597,0.915099978,1.069011513,0.014011272,0.914900005,1.070029386,0.013909065,0.904999971,1.062046012,0.014783858,0.915300012,2.480964287,0.014883087,0.924099982,1.124377773,0.019014539
3.0,0.934000015,1.103865956,0.01551556,0.929799974,1.081104845,0.014435598,0.928799987,1.081363303,0.013853081,0.923799992,1.064918728,0.013567102,0.923300028,1.092134139,0.013591103,0.902800024,1.091888347,0.013498055,0.896099985,1.079369142,0.013602949,0.930899978,2.855367357,0.0135673,0.938199997,1.163208738,0.013558674,0.92930001,1.150126434,0.013575349,0.934700012,1.109603563,0.013590525,0.900300026,1.174500978,0.013577185,0.888100028,1.075753745,0.013458676,0.905200005,1.092413041,0.013737574,0.931299984,1.119755998,0.013359711,0.926500022,1.112942802,0.013550294,0.935899973,1.092602826,0.013576551,0.928900003,1.076811795,0.01361345,0.91930002,1.099804797,0.013721078,0.930100024,1.070849801,0.013517502,0.933000028,1.116015871,0.013659095,0.932500005,1.142181584,0.013517949,0.932600021,1.133346264,0.013540433,0.926599979,1.073906356,0.013661926,0.931800008,1.123663629,0.013796389,0.931299984,1.130031874,0.013638714,0.92110002,1.10163181,0.013475345,0.925000012,1.078567928,0.013561942,0.935199976,1.118890957,0.013557929,0.92900002,1.084981468,0.01359533,0.9296,1.083087953,0.013711347,0.917800009,1.084240163,0.013436888,0.929400027,2.75527767,0.013746628,0.93779999,1.133169886,0.013487278,0.922299981,1.093781425,0.013591524,0.924399972,1.124122315,0.014226144,0.929700017,1.114689397,0.013559191,0.906700015,1.106342177,0.013556526,0.935100019,1.092732286,0.013505015,0.931800008,1.100054854,0.01350135,0.92900002,1.090584338,0.013488961,0.906700015,1.113801905,0.013437702,0.922500014,1.085850435,0.013419847,0.931299984,1.070913742,0.013423013,0.927600026,2.592785309,0.013536246,0.93690002,1.088599348,0.013612233,0.930999994,1.08470086,0.013566818,0.934000015,1.081369518,0.013588955,0.920899987,1.118149842,0.013336766,0.920799971,1.087705547,0.013573988,0.934000015,1.103865956,0.01551556
4.0,0.939899981,1.150039922,0.015374949,0.939100027,1.120573486,0.013712477,0.938600004,2.60546789,0.013454929,0.92930001,1.109108176,0.013196605,0.933200002,1.09952845,0.013135381,0.911800027,1.079491376,0.01316536,0.900300026,1.078646322,0.013151416,0.939400017,1.073480118,0.013261743,0.944999993,1.078502316,0.013140943,0.935000002,1.088816712,0.013158168,0.940100014,1.062393488,0.013152454,0.916499972,1.063372101,0.013180188,0.914799988,1.112617415,0.013626632,0.908699989,1.076142694,0.013423732,0.940999985,2.445383982,0.013173388,0.937300026,1.104376872,0.013192486,0.941699982,1.093761775,0.013132773,0.931999981,1.095008336,0.013201226,0.930700004,1.108109246,0.013158676,0.941299975,1.083828459,0.01339967,0.934199989,1.095891269,0.013193169,0.941900015,1.068889776,0.013162188,0.93809998,1.068805042,0.013013892,0.935800016,1.116341149,0.01355248,0.939199984,1.061219264,0.013356991,0.931599975,1.069532955,0.01312886,0.927100003,2.499538201,0.013113089,0.935899973,1.134262227,0.013166565,0.944100022,1.113021018,0.0130868,0.941299975,1.099043321,0.013069838,0.941900015,1.092743872,0.013667815,0.925199986,1.136334811,0.013052422,0.940400004,1.083500964,0.013172638,0.945100009,1.073425857,0.013317204,0.930800021,1.09889468,0.013417528,0.940100014,1.086163283,0.013343494,0.93599999,1.070490813,0.013149766,0.915000021,1.070640025,0.013110013,0.941900015,1.077840966,0.013061382,0.941699982,1.152654905,0.01310152,0.935100019,1.103571584,0.0130948,0.935000002,1.103413196,0.013101406,0.924099982,1.089037932,0.013158208,0.942900002,1.097078687,0.013026509,0.935299993,1.106079422,0.012885882,0.941500008,1.091286507,0.01318094,0.939999998,1.080889381,0.013329181,0.947000027,1.084267385,0.013294369,0.925100029,1.071430279,0.013258427,0.932500005,1.085837331,0.013334242,0.939899981,1.150039922,0.015374949
5.0,0.947399974,1.073540117,0.015388868,0.9454,1.084605584,0.013466821,0.941299975,1.091319195,0.013411743,0.93809998,1.068398441,0.013276713,0.941100001,1.076285222,0.013128489,0.91839999,1.065957878,0.013164369,0.910600007,1.058592356,0.013117726,0.943799973,1.068566231,0.013197321,0.947000027,2.461515144,0.013160468,0.941399992,1.132695908,0.013145618,0.944599986,1.091421876,0.01312626,0.929499984,1.097483712,0.013189046,0.928799987,1.081320546,0.013283834,0.926500022,1.084215124,0.013483267,0.946699977,1.084365119,0.013213367,0.944500029,1.073824095,0.013188298,0.945800006,1.115143962,0.013150453,0.942399979,1.080482625,0.013147297,0.93900001,1.073446875,0.013141313,0.943899989,1.071490081,0.013135319,0.944299996,2.50724249,0.01329057,0.94660002,1.11129644,0.013288308,0.943000019,1.099942314,0.013199924,0.940299988,1.063011386,0.013369802,0.942900002,1.085474398,0.013499971,0.937699974,1.08461722,0.013161291,0.931400001,1.071473349,0.013135311,0.943700016,1.078357194,0.013172546,0.947000027,1.09028411,0.013160566,0.947700024,1.095444485,0.013158644,0.94690001,1.070774859,0.01316229,0.932900012,1.064738378,0.013173739,0.946500003,1.097538778,0.013154024,0.951200008,2.490015817,0.013160247,0.937099993,1.07305788,0.013241363,0.945100009,1.104816986,0.013463183,0.9375,1.104559892,0.01321256,0.918299973,1.102547683,0.013154174,0.951600015,1.100832052,0.013159877,0.944199979,1.08139482,0.013079444,0.942399979,1.069524683,0.013262733,0.942300022,1.091668559,0.01300604,0.928600013,1.071384311,0.012926922,0.947099984,1.062438638,0.01287451,0.938499987,1.110334988,0.012926794,0.946399987,1.152380495,0.013314502,0.948300004,1.109507356,0.013255914,0.952400029,1.107638231,0.013296794,0.930299997,1.106023981,0.013359177,0.935199976,1.104689839,0.013336135,0.947399974,1.073540117,0.015388868
6.0,0.950299978,1.153270104,0.014953363,0.952600002,1.152916957,0.013369848,0.94599998,1.061517104,0.01336846,0.944000006,2.527314065,0.013161998,0.950600028,1.105733256,0.013211979,0.922299981,1.125857724,0.013084856,0.916999996,1.105196365,0.013175665,0.949599981,1.100531101,0.013130634,0.948499978,1.081796545,0.013111339,0.948899984,1.072660605,0.01309119,0.949199975,1.079280587,0.013268973,0.934300005,1.093431961,0.013058574,0.939599991,1.138007023,0.013301046,0.943099976,1.074187541,0.013121972,0.952099979,1.072053514,0.013153275,0.94749999,1.063090836,0.013148688,0.949800014,2.486092202,0.01314467,0.949599981,1.106370361,0.013175574,0.9472,1.09124997,0.013191277,0.948400021,1.096836384,0.013162956,0.950100005,1.109052527,0.013366439,0.952400029,1.1066632,0.013281593,0.947600007,1.082215765,0.013246034,0.945100009,1.109459203,0.01329113,0.946500003,1.070308503,0.013324995,0.939599991,1.074939434,0.013108082,0.930000007,1.070451126,0.013039487,0.947099984,1.062450526,0.013009014,0.948199987,2.541782244,0.013131001,0.952300012,1.139296185,0.013091386,0.948700011,1.124831427,0.013017042,0.939700007,1.084103543,0.012901574,0.947300017,1.099275436,0.013103899,0.954999983,1.087694714,0.013097389,0.941399992,1.087003335,0.013230768,0.950800002,1.090214236,0.013372698,0.941799998,1.082148674,0.013097782,0.924199998,1.069520685,0.01303951,0.957199991,1.064340433,0.013089876,0.948599994,1.062187463,0.013076993,0.94569999,1.058496315,0.013130711,0.948800027,1.117802392,0.013002433,0.937399983,1.121564099,0.012898279,0.948099971,1.113752622,0.012956139,0.94660002,1.094438376,0.012955232,0.951200008,1.07716538,0.012927554,0.951699972,1.062612478,0.013260311,0.95389998,1.07712971,0.013261416,0.932399988,1.067921788,0.013296148,0.942399979,1.063924592,0.01325168,0.950299978,1.153270104,0.014953363
7.0,0.952300012,1.084780274,0.016582189,0.95480001,1.080768232,0.013582166,0.949199975,1.092682535,0.013592134,0.952400029,1.084366952,0.01317129,0.956900001,1.103442022,0.013539923,0.926599979,1.067107229,0.013624125,0.930499971,1.0675485,0.013278146,0.951099992,1.070500647,0.013104106,0.951799989,1.085817849,0.013355487,0.949699998,1.062802048,0.013191626,0.952499986,2.664480632,0.013295322,0.940599978,1.115027691,0.013634481,0.944800019,1.074081407,0.013447601,0.94660002,1.103788815,0.013765658,0.954699993,1.12009106,0.013308398,0.952300012,1.098909664,0.013116624,0.953299999,1.078521846,0.013417258,0.952099979,1.100618939,0.013250492,0.951200008,1.075177583,0.013642443,0.953499973,1.062837842,0.013230841,0.952400029,1.068584876,0.013118127,0.952000022,1.077863877,0.013337135,0.949100018,1.062640512,0.01330264,0.949400008,1.067682681,0.013470274,0.946799994,1.137616147,0.013257828,0.944400012,1.126241885,0.013065279,0.930999994,1.10657924,0.012957082,0.950699985,1.093721398,0.013029763,0.951799989,1.081037909,0.013026818,0.95389998,1.088993782,0.012826662,0.953299999,1.114478746,0.013196696,0.948400021,1.118661627,0.012973464,0.949400008,1.104749688,0.013202689,0.957199991,1.092512342,0.01321442,0.943599999,1.077698066,0.013396689,0.956799984,1.064489188,0.013434733,0.944800019,2.525475868,0.013325234,0.933000028,1.112536569,0.013097208,0.962199986,1.096304222,0.013053874,0.949599981,1.085617973,0.012995286,0.94690001,1.098779344,0.012842996,0.953599989,1.090260523,0.012958993,0.943499982,1.083331763,0.012843546,0.951499999,1.078419544,0.012966995,0.950200021,1.070692988,0.012914813,0.95630002,1.066375473,0.013993798,0.953599989,2.913231381,0.013306084,0.958299994,1.113684971,0.013487775,0.936399996,1.107335271,0.013571278,0.943899989,1.14895872,0.013540669,0.952300012,1.084780274,0.016582189
8.0,0.955200016,1.078946833,0.015685526,0.958100021,1.063088626,0.013406293,0.954200029,1.063793005,0.013395478,0.957599998,1.065709092,0.013107513,0.961600006,1.052315843,0.013113699,0.936500013,1.061292344,0.013133039,0.938199997,2.617506352,0.013413982,0.954400003,1.111034908,0.013133675,0.952700019,1.106235788,0.013104592,0.952799976,1.117953997,0.013055805,0.954900026,1.085785628,0.013163335,0.943400025,1.085059044,0.013178841,0.949299991,2.428293592,0.013991519,0.949699998,1.103445923,0.014397246,0.956399977,1.094835736,0.013118617,0.956099987,1.076283357,0.013154467,0.953999996,1.065921888,0.013156147,0.954400003,1.062289029,0.013152388,0.955900013,2.522744606,0.01310231,0.955600023,1.111186909,0.013105487,0.952799976,1.103965828,0.013095911,0.956099987,1.115557617,0.01312229,0.954400003,1.137730672,0.013117401,0.951699972,1.106551792,0.013167718,0.951099992,1.093052976,0.013518997,0.948300004,1.099571885,0.013073835,0.935100019,1.070916606,0.013138121,0.955200016,1.070284846,0.012932927,0.954900026,1.074395341,0.013102589,0.957400024,1.064116021,0.01290823,0.95539999,1.060972883,0.013044343,0.952199996,1.137875283,0.013370821,0.953100026,1.121607703,0.013386826,0.960399985,1.096860833,0.013099959,0.948099971,1.151477466,0.013250114,0.959100008,1.093945046,0.013281888,0.950299978,1.079416929,0.013101542,0.93690002,1.086464111,0.013175654,0.9648,1.084249342,0.013011084,0.952600002,1.070073046,0.013071967,0.951900005,1.062624677,0.013738498,0.954100013,1.067779135,0.013104139,0.947899997,1.059921793,0.013705322,0.952899992,2.517467493,0.013091631,0.954999983,1.096937015,0.013613084,0.959200025,1.09741325,0.013301398,0.958299994,1.086611946,0.013110345,0.958400011,1.078315084,0.013305671,0.940800011,1.064751427,0.013298376,0.947399974,1.068261481,0.013132563,0.955200016,1.078946833,0.015685526
9.0,0.956099987,1.11734311,0.015122324,0.960300028,1.082772769,0.013474403,0.955799997,1.110019932,0.013431554,0.961099982,1.120003305,0.013319581,0.96509999,1.094868414,0.013140834,0.942900002,1.1089068,0.013130914,0.943700016,1.100643161,0.01304975,0.955200016,1.08345049,0.013132604,0.953999996,1.087491477,0.013261384,0.952400029,1.062749577,0.013127623,0.959100008,1.152091888,0.013174504,0.9454,1.101979431,0.013219402,0.951699972,1.075951141,0.013373412,0.952499986,1.059546613,0.013257312,0.958700001,2.645383789,0.013056428,0.95569998,1.107832103,0.013218507,0.952499986,1.117276089,0.01305664,0.953800023,1.094376037,0.013044443,0.957799971,1.085367799,0.013146133,0.956399977,1.090698378,0.013004439,0.954900026,1.124942548,0.013144778,0.957400024,1.090963708,0.013110113,0.957700014,1.065717022,0.013070158,0.954900026,1.087457987,0.013680152,0.9551,1.10668888,0.013508172,0.949899971,1.056362234,0.013083179,0.938799977,2.502828326,0.013260748,0.957799971,1.110332796,0.013118339,0.955299973,1.104473914,0.013097474,0.956700027,1.102160388,0.013099095,0.957700014,1.100420622,0.013162915,0.958899975,1.077653525,0.013262329,0.953000009,1.070734019,0.013158042,0.96329999,1.091389714,0.013096735,0.953000009,1.121695662,0.013148307,0.959999979,1.065121753,0.013387685,0.951300025,1.076437642,0.013140519,0.935400009,1.053160528,0.013073318,0.967800021,1.052027446,0.013080603,0.951399982,2.485921977,0.013099758,0.952000022,1.091844281,0.013632346,0.95539999,1.086649172,0.013229589,0.954200029,1.085915585,0.013028524,0.95450002,1.119709595,0.012870147,0.957599998,1.084882151,0.012972628,0.961700022,1.116083333,0.013836419,0.959699988,1.066792771,0.01334048,0.961399972,1.082929528,0.013240097,0.947000027,1.066458621,0.012968045,0.950200021,2.528180622,0.013394036,0.956099987,1.11734311,0.015122324
