Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0.0,0.195912719,1.261948734,0.021599327,0.253111541,1.22476466,0.018575547,0.195874304,1.272822831,0.018723999,0.195874304,1.923841933,0.018374975,0.195874304,1.27447142,0.017863746,0.195874304,1.298708462,0.018049539,0.195912719,1.239324427,0.017859929,0.195989549,1.232606842,0.017820057,0.196412101,1.239567571,0.018119839,0.195874304,2.088247466,0.018183548,0.195874304,1.285135901,0.018249186,0.198448062,1.231651754,0.017862715,0.195912719,1.271322007,0.018973823,0.195874304,1.242555517,0.018550334,0.195874304,1.240874364,0.018004214,0.23263675,1.234431482,0.017948828,0.231714815,1.262142669,0.017775785,0.195874304,2.061477789,0.017883953,0.209626615,1.228466149,0.018038206,0.197564542,1.241870902,0.018147083,0.195874304,1.202877248,0.018093231,0.266018748,1.198012581,0.018062959,0.195874304,1.202021919,0.018031464,0.195874304,1.212834014,0.018979107,0.214197904,1.192211363,0.018145624,0.227796555,1.235258392,0.017923923,0.195874304,2.212223803,0.017386246,0.195989549,1.205692215,0.017411705,0.195874304,1.184509578,0.017863419,0.198678553,1.217185259,0.018079246,0.217616782,1.201723271,0.017918862,0.234250158,1.191389771,0.017806603,0.195874304,1.189273346,0.018015463,0.195874304,1.211351742,0.018026727,0.195874304,1.214894731,0.018270455,0.195874304,1.207874813,0.018270649,0.195874304,2.361548191,0.017937958,0.24135679,1.211744522,0.017563071,0.231637985,1.19945986,0.017417996,0.195874304,1.212117625,0.017350571,0.195912719,1.226975832,0.017894424,0.260102957,1.182740057,0.017697756,0.195874304,1.182074057,0.01786186,0.195989549,1.180993665,0.017650864,0.196450517,1.246927043,0.017729309,0.195912719,3.342241348,0.01829434,0.231177017,1.217723998,0.018350014,0.195874304,1.216032415,0.018123292,0.195874304,1.260076259,0.018232724,0.230639219,1.269707282,0.018119952,0.195912719,1.261948734,0.021599327
1.0,0.320989549,1.184625496,0.021877852,0.350722194,1.204303605,0.019116726,0.30777505,1.183150672,0.018684602,0.339966208,1.211213748,0.018151065,0.330785185,1.187995374,0.01814173,0.378418863,2.681934856,0.01926421,0.358289808,1.263514685,0.018205904,0.331207752,1.260956322,0.017973121,0.304663479,1.305963872,0.02006877,0.31737861,1.248290725,0.018016805,0.312884152,1.295354013,0.01789325,0.352412403,1.269927199,0.019231197,0.374846339,1.190545899,0.018427271,0.330977261,1.435276121,0.018308158,0.321412116,1.273570238,0.01812588,0.378342032,1.252980657,0.018534231,0.377765834,1.257701222,0.017968595,0.310387224,1.225255894,0.018102625,0.365204364,2.682918681,0.019153226,0.352642894,1.228707108,0.018715033,0.318108469,1.228926376,0.017633446,0.368700057,1.231157627,0.018781014,0.351605713,1.259508711,0.018626285,0.360364169,1.294155897,0.018774733,0.321565777,1.227581527,0.018696736,0.381261528,1.225262507,0.017641263,0.354217887,1.330010039,0.017912261,0.35963431,1.241823482,0.017785264,0.381453604,1.224265667,0.018857197,0.308159202,1.206428227,0.017927146,0.346996009,1.280863437,0.018500972,0.302704364,1.245382695,0.019278027,0.341041803,1.211911486,0.017535851,0.328211427,1.243629913,0.01866276,0.406730175,1.258901697,0.019175416,0.380570054,1.194160005,0.018598801,0.353027046,1.204640167,0.0181469,0.363245249,1.200126612,0.017819817,0.347264916,1.184257722,0.018252697,0.360018432,1.202563392,0.017983302,0.374001235,1.256037854,0.017657619,0.337661326,1.175426237,0.01895174,0.371196985,2.902915092,0.018064973,0.393438846,1.19888487,0.018035723,0.325215131,1.186768997,0.017707989,0.364551336,1.247151327,0.020144784,0.310156733,1.223714962,0.018444214,0.38268286,1.217408517,0.019385326,0.38260603,1.21195261,0.018982342,0.355485559,1.185544085,0.019258961,0.320989549,1.184625496,0.021877852
2.0,0.471765518,1.208239959,0.023956391,0.477873385,1.222260962,0.018185129,0.487323284,1.237603533,0.018225492,0.462392449,1.25379449,0.017810025,0.48463431,1.224196096,0.017512182,0.477642894,1.226651672,0.017651076,0.490050703,1.215037976,0.017827887,0.468346655,1.184629922,0.017625578,0.471227705,1.22653781,0.017465519,0.467463136,1.191288615,0.01754779,0.459895521,1.177653341,0.017298885,0.489628136,1.182175891,0.017522085,0.506261528,1.205858343,0.019037613,0.477181941,3.11728528,0.019190714,0.467693597,1.247411045,0.017871518,0.510064542,1.288913227,0.017769924,0.475837439,1.256387029,0.017969031,0.435771346,1.218774875,0.018102286,0.430662274,1.251632004,0.017850463,0.483904421,1.226172108,0.018273068,0.476720959,1.199527762,0.019591742,0.472841114,1.194410095,0.018750533,0.465657651,1.197168921,0.0185419,0.516095579,1.182006056,0.018214788,0.499193311,2.678552527,0.019519312,0.497426242,1.224850076,0.01832071,0.478564829,1.230787026,0.018215772,0.460356474,1.234460984,0.01830012,0.48951292,1.219788027,0.018218489,0.433236003,1.234800064,0.01832634,0.459050387,1.206730345,0.018225907,0.424285501,1.184686199,0.018267486,0.487169623,1.179430837,0.018186041,0.488245249,1.201448994,0.018137933,0.499423772,1.190387057,0.018146385,0.444260895,1.18466263,0.018765018,0.502035975,1.274116098,0.018302592,0.505262733,1.231603625,0.017959863,0.506530404,1.221277774,0.01809368,0.511409044,1.226499245,0.017864327,0.478334367,1.230011732,0.018437089,0.498117715,1.261970695,0.018332512,0.515596211,1.213447394,0.017847711,0.498348176,1.208849974,0.018105036,0.456668705,1.199919757,0.01811511,0.504148722,1.217453841,0.017942458,0.440995693,1.203844844,0.018235904,0.506184697,1.206972419,0.017741176,0.512446225,1.225547107,0.01774649,0.481522739,1.274962413,0.017911511,0.471765518,1.208239959,0.023956391
3.0,0.576598048,1.195979267,0.022514162,0.581322968,1.180773001,0.019555001,0.59123385,1.190744832,0.019180228,0.574946225,1.176730249,0.018559255,0.600184381,2.601359018,0.018555395,0.5827443,1.238986868,0.018522896,0.569952369,1.220539826,0.018798605,0.576367557,1.234620216,0.018934368,0.555431783,1.228588145,0.018534161,0.565189004,1.199480506,0.018373065,0.569414556,1.191158689,0.018471703,0.567532241,1.193634044,0.018442321,0.59330821,1.210748432,0.019548673,0.589927793,1.178086277,0.018652477,0.595689893,1.181469913,0.018404872,0.597380161,1.174818158,0.019025226,0.575023055,1.245049268,0.018376073,0.563421965,1.221797604,0.018354387,0.558543324,1.213828116,0.019180732,0.595689893,1.185338085,0.018274415,0.587123513,1.181549386,0.018515323,0.578557134,1.194439248,0.018498256,0.556392133,1.196427908,0.018445731,0.586432099,1.20825327,0.019120594,0.600568533,1.195441242,0.018970345,0.587123513,1.188178975,0.018405393,0.579978466,1.172317886,0.018347584,0.539528251,1.182490398,0.01836335,0.586816251,1.197215201,0.018302511,0.546327591,2.734705772,0.018168358,0.573486507,1.221959282,0.018286637,0.527466178,1.214611118,0.018385671,0.583166897,1.223428605,0.01861433,0.568761528,1.23330613,0.018263151,0.588583291,1.207059392,0.018792613,0.554778755,1.219997886,0.018559572,0.603295922,1.229605051,0.018397551,0.6230793,1.202410341,0.018530015,0.584204078,1.232298781,0.018681072,0.600261211,1.196624125,0.018609261,0.579940081,1.241966999,0.018999083,0.593269825,3.140603113,0.018560151,0.58266747,1.395884512,0.018298418,0.574293196,1.292380021,0.018226321,0.563153028,1.277036039,0.01808578,0.585471749,1.204509758,0.019076203,0.560925007,1.189610352,0.01864269,0.608481884,1.179593936,0.018897297,0.603142262,1.204347404,0.018624632,0.5827443,1.186690326,0.01941002,0.576598048,1.195979267,0.022514162
4.0,0.636063278,1.269229815,0.020441598,0.639635861,1.336852038,0.018031486,0.651582658,1.250753814,0.018079495,0.642977893,1.227983331,0.017658962,0.669483721,1.202791314,0.017500789,0.647126615,1.204601945,0.017689718,0.64820224,1.204537559,0.017627658,0.658727705,1.19525563,0.017575857,0.621619523,1.173278107,0.017766371,0.633835256,1.172081724,0.017636959,0.635448694,1.182985312,0.017516118,0.647433937,1.16376003,0.018107336,0.648739994,1.222393791,0.017540663,0.662991703,2.956689985,0.017880767,0.651428998,1.220877215,0.017720673,0.645321131,1.218625268,0.017571367,0.637830377,1.199227907,0.017638532,0.629417658,1.211869487,0.017783302,0.641518116,1.19316937,0.017721856,0.656499684,1.217505,0.017434722,0.659188688,1.191756074,0.017714392,0.646972954,1.196026488,0.017670227,0.622618318,1.196888311,0.017179394,0.647702813,1.194584251,0.017961865,0.660878897,1.18108389,0.017700664,0.646511972,1.183895591,0.017718117,0.630339563,1.21642797,0.017307954,0.639059603,1.211372432,0.017687786,0.655308843,1.207733979,0.017669193,0.61643362,1.217326752,0.017460516,0.639443755,1.191336746,0.017629112,0.61539644,1.198258453,0.017391088,0.655001521,1.171251768,0.017659188,0.635794401,1.199739221,0.017506932,0.649546683,1.234351761,0.017336739,0.632913351,1.202932834,0.017924942,0.657536864,1.17944962,0.01769777,0.673209906,1.251531409,0.017839553,0.641556561,1.238866709,0.017454392,0.648317456,1.23863105,0.017290452,0.644975424,1.249497294,0.017547984,0.674554408,1.218208326,0.017318427,0.651774764,1.217399291,0.017802571,0.654386938,1.190755733,0.0177333,0.659841716,1.189673439,0.017431015,0.640096784,1.187853178,0.017745576,0.624807954,1.195327646,0.017514726,0.658842981,3.079772968,0.017341172,0.65669179,1.227168702,0.017600457,0.653003991,1.241285475,0.017780105,0.636063278,1.269229815,0.020441598
5.0,0.668523371,1.186014432,0.045212235,0.681392133,1.18239968,0.017644497,0.685848176,1.19878963,0.017577824,0.686232328,1.194362246,0.017862394,0.707129657,1.181074386,0.017340794,0.690765202,1.185233004,0.017843533,0.692455411,1.218976579,0.01724648,0.693300545,1.242984586,0.017446822,0.679663479,1.25397669,0.01722135,0.69126457,1.225993517,0.017946215,0.691303015,1.229929475,0.017238569,0.705362618,1.236021071,0.017269073,0.6913414,3.088779188,0.018038974,0.685195148,1.185843105,0.018571563,0.683620155,1.184266079,0.017151864,0.673363566,1.179303643,0.017828432,0.686232328,1.182586173,0.018441407,0.679970801,2.633149585,0.017187934,0.696450531,1.276179488,0.017243164,0.695221245,1.217819116,0.018804443,0.70759064,1.258734217,0.016837391,0.693415821,1.204060864,0.017323185,0.674631238,1.18795933,0.018956128,0.68949753,1.260912621,0.017310941,0.696258426,1.1771952,0.017506205,0.674823284,1.172459107,0.017232572,0.676014125,1.173381337,0.018945485,0.684926271,1.174439563,0.017146145,0.703749239,1.175479862,0.017400737,0.674131811,1.177887843,0.018428444,0.702212632,2.888854852,0.017374959,0.664874017,1.257964094,0.01701304,0.691763997,1.26073622,0.018494506,0.665181339,1.193814887,0.017305522,0.699408412,1.234595133,0.01864232,0.682736635,1.220354887,0.017726327,0.692724347,1.210917536,0.019016919,0.706860781,1.20123309,0.016674499,0.662684381,1.186586624,0.017110172,0.672748923,1.188913077,0.017336453,0.700637698,1.183123167,0.017175223,0.708358943,1.176257962,0.016932246,0.697602928,1.22748864,0.018013645,0.706399798,1.164702145,0.017520869,0.715580821,2.80912196,0.017173396,0.648855269,1.236584267,0.018229022,0.651659489,1.25606051,0.017255733,0.695912719,1.233867768,0.017512858,0.672979414,1.231949703,0.017456587,0.690918863,1.220978022,0.018662866,0.668523371,1.186014432,0.045212235
6.0,0.69045788,1.233313785,0.020661513,0.711547315,1.230020903,0.017700696,0.710241258,1.167400936,0.017602403,0.718116164,1.222102141,0.017168074,0.735018432,1.227108841,0.017146294,0.717808843,1.232936625,0.017190768,0.725606918,1.218019973,0.017144495,0.714620471,1.220469139,0.017312499,0.721227705,1.261457047,0.017127404,0.723455727,1.211524388,0.017121362,0.72503072,1.194652708,0.017371757,0.742701292,1.200449565,0.02079022,0.724185646,1.200885974,0.017615612,0.714121103,1.168047942,0.017418518,0.713736951,1.169408164,0.01715731,0.695144415,1.198252031,0.016965157,0.723225236,1.174431252,0.016945503,0.717924118,1.297082402,0.017090588,0.732828856,1.221607475,0.017405766,0.717539966,1.259056405,0.017404359,0.73655498,1.380776638,0.017311296,0.717232645,1.214709615,0.017363209,0.711201608,1.192579834,0.017118768,0.722341716,1.209475948,0.021939949,0.726298392,1.192550059,0.017408739,0.697564542,1.227066501,0.017043601,0.716003358,1.184040899,0.017114011,0.706092477,1.295353653,0.016934191,0.730293512,1.184687196,0.017163869,0.707475424,1.190452225,0.017175005,0.72887218,1.226888551,0.017145715,0.704440713,1.217162102,0.017015654,0.721803963,1.227211727,0.016966842,0.712085128,1.210648554,0.017027362,0.735018432,1.179763983,0.017395485,0.717155814,1.207228135,0.017527289,0.725222826,1.203007479,0.017502287,0.727527678,1.202921061,0.01719299,0.713045478,1.224945634,0.017261506,0.702673614,1.16970586,0.017166494,0.73367393,1.224208213,0.017047596,0.736670256,2.871534014,0.016946292,0.72679776,1.223134045,0.017064045,0.740050733,1.253486883,0.017207184,0.742586076,1.234639862,0.016922997,0.707244933,1.179980308,0.017570578,0.670520902,1.192113456,0.01757848,0.726375222,1.182620107,0.017564967,0.688037813,1.178845508,0.017414217,0.710433304,1.197045592,0.01754376,0.69045788,1.233313785,0.020661513
7.0,0.72495389,1.202707977,0.020283989,0.732406259,1.218016082,0.018086066,0.731599569,1.214487414,0.017472278,0.740934253,1.186814405,0.017104092,0.754110336,1.19920022,0.017137965,0.743008614,1.17791066,0.017110699,0.753034711,1.183039039,0.017082234,0.73943609,1.189426253,0.01699676,0.742970169,1.175185557,0.017061795,0.747003675,2.597916896,0.016953264,0.739013493,1.262158189,0.017232425,0.759449899,1.220323425,0.01703631,0.741779327,1.197797473,0.017651759,0.741702497,1.233439362,0.017505278,0.746273816,1.237070912,0.017143441,0.717309475,1.253244148,0.016990647,0.742547631,1.25654833,0.017029105,0.737400115,1.198798425,0.017059785,0.747810364,1.176686013,0.016986158,0.738053143,1.174755719,0.017046097,0.755147517,1.197740613,0.016970659,0.729602039,2.723111543,0.017053647,0.737015963,1.224127048,0.017094727,0.744890928,1.188155248,0.017281569,0.742470801,1.232311366,0.017369945,0.727566063,1.213201,0.017099223,0.729640424,1.213193544,0.017154609,0.734980047,1.195408416,0.017025358,0.758758426,1.185701285,0.017014617,0.725299656,1.179005541,0.01702928,0.745236635,1.17789164,0.016984633,0.732214212,1.171496001,0.017153554,0.740281165,1.180450627,0.016978274,0.733289778,1.165352071,0.017053284,0.757260323,1.181266459,0.017430777,0.750192046,3.153022659,0.017425614,0.744737267,1.211228261,0.017119292,0.746926844,1.206948548,0.017103492,0.745351851,1.192895804,0.01714517,0.730908096,1.183068621,0.016971936,0.755378008,1.188155003,0.017105984,0.752151191,1.186073088,0.017130034,0.74239397,1.181915869,0.017109114,0.751690209,1.175359262,0.016901476,0.762945592,1.186856973,0.016851866,0.738437295,1.166303672,0.016978975,0.694145679,1.175991209,0.017202668,0.754225552,2.76537519,0.017194128,0.706054091,1.236617579,0.017339808,0.725837409,1.210912999,0.017325355,0.72495389,1.202707977,0.020283989
8.0,0.7519207,1.169841202,0.02195455,0.74423784,1.155532154,0.01814318,0.750384152,1.206385584,0.017504628,0.7461586,1.166738208,0.017212751,0.767593741,1.162320274,0.01678655,0.756492019,2.789700582,0.016755493,0.766172409,1.223350673,0.01720481,0.757644415,1.229882455,0.017165548,0.759027362,1.241606408,0.017167423,0.758028567,1.240001359,0.017177559,0.754840195,1.264785449,0.017196468,0.772587597,1.204190657,0.017425046,0.759449899,1.222401357,0.016932753,0.752035975,1.208952704,0.017507169,0.768285215,1.20860113,0.01723755,0.73559463,1.191788025,0.017106301,0.73943609,1.169961915,0.017047906,0.755032241,1.167491519,0.017045623,0.756837726,1.219357645,0.017238095,0.753226817,1.276820648,0.017147657,0.762292564,1.259413724,0.017234375,0.754686534,1.231394644,0.017320502,0.754225552,1.257845847,0.017125825,0.762945592,1.22632537,0.017393037,0.757106662,1.200105566,0.017618593,0.74320066,1.183642177,0.01721272,0.755147517,1.169972386,0.017136639,0.745582342,1.185701508,0.017076704,0.765519381,1.162598507,0.017145297,0.736939132,1.167563545,0.017016139,0.756069481,1.161478488,0.0171784,0.747234166,1.167951761,0.016971781,0.754993856,2.753370004,0.01712549,0.741702497,1.214195805,0.017118245,0.76064074,1.229415967,0.017244709,0.770666897,1.228284395,0.017358994,0.753457308,1.210393011,0.017179756,0.761946857,1.212095878,0.016865943,0.760948062,1.207367974,0.017081967,0.75103718,1.205621347,0.017029352,0.75583899,1.177264133,0.017125359,0.769860148,1.183630209,0.017098386,0.751882315,1.218205659,0.01704278,0.768822968,1.165468307,0.017163977,0.77600646,2.631270343,0.01696027,0.731637955,1.23275403,0.017219493,0.708358943,1.205239819,0.01722184,0.757183492,1.192229634,0.01732723,0.732329428,1.206216487,0.017187311,0.739205599,1.206289884,0.017384479,0.7519207,1.169841202,0.02195455
9.0,0.766825438,1.231736346,0.01941381,0.751959145,1.209586136,0.018019747,0.752727389,1.184314145,0.017392646,0.762254179,1.162221806,0.017524611,0.773240626,2.695047117,0.016817572,0.763829112,1.2124767,0.017235763,0.7538414,1.199855486,0.017155664,0.763406575,1.197848269,0.017081178,0.766825438,1.18981871,0.017008057,0.767017543,1.188091335,0.016902284,0.767747402,1.193066885,0.017147151,0.781422853,1.197328521,0.016993088,0.769476056,1.2210307,0.017039682,0.765096784,1.201720603,0.017320499,0.773816824,1.174017759,0.01704853,0.746504307,1.183284821,0.016905378,0.739090323,1.164103149,0.017123064,0.766095579,2.789320525,0.016932748,0.762868762,1.229651353,0.017036038,0.76440537,1.222020604,0.016989362,0.776083291,1.251545064,0.017321272,0.764904737,1.203312733,0.017123263,0.765480936,1.199119603,0.017178141,0.772049785,1.220574816,0.017197257,0.75480181,1.200668012,0.017693755,0.75184387,1.191577597,0.01700285,0.752650559,1.210141374,0.017117955,0.75088352,1.271357488,0.017117981,0.772702813,3.023218513,0.016925949,0.765980303,1.238122083,0.016915943,0.768515646,1.289819458,0.017125962,0.758220673,1.219115156,0.017102032,0.76248461,1.292893989,0.017039016,0.761562705,1.222162804,0.016982916,0.767401636,1.20740572,0.01719185,0.779310107,1.207670075,0.018102702,0.765288889,1.181213494,0.017551797,0.76913029,1.205144104,0.017555727,0.782152712,1.181934477,0.017503553,0.763214529,1.203978041,0.017658448,0.76928395,2.838970615,0.017639617,0.782536864,1.230652753,0.017631303,0.769744933,1.260710113,0.017522036,0.781115532,1.238355635,0.021348051,0.786531985,1.204282707,0.017418157,0.750345707,1.189524984,0.017281513,0.72791183,1.190384701,0.017288139,0.76248461,1.186700641,0.017223842,0.742355585,1.171560025,0.017182697,0.746504307,1.165863286,0.017197319,0.766825438,1.231736346,0.01941381
