Unnamed: 0,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,accuracy,training,secret_sharing,Average Accuracy,Average Training,Average Secret Sharing
0.0,0.662800014,1.146252952,0.007041182,0.698700011,1.14701838,0.005721892,0.624800026,1.102265902,0.005487607,0.591099977,1.10561782,0.005309826,0.640299976,1.430028363,0.005421608,0.589399993,1.134484248,0.005336285,0.611999989,1.080739652,0.005364634,0.635800004,1.082701551,0.005379652,0.657400012,1.088427574,0.005487235,0.638899982,1.521654217,0.005741239,0.670099974,1.093983429,0.005405656,0.66140002,1.100110534,0.005363875,0.620299995,1.15379836,0.005366327,0.622399986,1.086904819,0.005348978,0.633700013,1.129895815,0.005471354,0.63499999,1.09574916,0.00528771,0.624899983,1.608943301,0.005330817,0.57130003,1.082477385,0.005400359,0.628000021,1.087821693,0.005838631,0.61650002,1.095643247,0.005305256,0.655900002,1.116686775,0.005393862,0.657500029,1.092682053,0.005525442,0.581799984,1.074092412,0.005614941,0.592199981,1.116707911,0.005722739,0.617900014,1.802514509,0.0054117,0.629400015,1.097419522,0.005792984,0.634500027,1.096313592,0.005291904,0.676900029,1.123570898,0.005363291,0.616400003,1.082466235,0.005383638,0.654600024,1.11428721,0.005362728,0.60589999,1.092920877,0.005292057,0.672800004,1.082373213,0.005326938,0.674099982,1.892768258,0.005318989,0.650099993,1.094390912,0.005435255,0.623399973,1.107974477,0.005374517,0.644900024,1.069441361,0.00526485,0.616100013,1.079758999,0.00537042,0.572899997,1.098021131,0.00539376,0.662500024,1.077679858,0.005277037,0.628700018,1.08284661,0.005157993,0.656599998,1.078014704,0.005291668,0.650600016,1.088917736,0.00517806,0.649500012,1.122717854,0.00516354,0.563000023,2.014053865,0.005306248,0.672599971,1.094261872,0.005124471,0.61589998,1.120237779,0.005533419,0.631900012,1.101677924,0.005410372,0.654600024,3.097698268,0.005907639,0.664300025,1.101568033,0.005971161,0.600199997,1.094967637,0.005426799,0.662800014,1.146252952,0.007041182
1.0,0.662800014,1.146252952,0.005494231,0.694999993,1.078789679,0.007041796,0.674600005,1.125017438,0.005821597,0.658500016,1.107649782,0.005884837,0.668200016,1.09590406,0.006245898,0.672299981,1.097623733,0.005957124,0.66079998,1.091668626,0.005754203,0.639900029,1.092682237,0.006036907,0.675199986,1.091118177,0.005749892,0.689999998,1.11021081,0.005973851,0.672200024,1.072137951,0.005750882,0.68779999,1.081036594,0.005856543,0.677900016,1.083725594,0.006195206,0.661000013,1.096732681,0.00577318,0.671599984,1.098735832,0.005764872,0.666000009,1.093868452,0.005658918,0.636900008,1.082916431,0.005771005,0.661499977,1.081746582,0.005778484,0.654399991,1.102613172,0.005724208,0.654799998,1.090524127,0.006052088,0.701300025,1.086371145,0.006045547,0.682299972,1.07870525,0.005715621,0.64319998,1.096762647,0.005607359,0.674799979,1.07487263,0.006135607,0.688399971,1.091264928,0.005768128,0.68870002,2.753749161,0.006184558,0.70480001,1.124977703,0.00594147,0.686600029,1.090137461,0.006316678,0.659799993,1.084326492,0.005598187,0.67809999,1.080571517,0.005693081,0.674099982,1.079037379,0.005764881,0.702099979,1.089820048,0.005765307,0.700600028,1.086566868,0.005837002,0.677699983,1.076519321,0.005820631,0.645900011,1.092813306,0.005935076,0.683000028,1.088432352,0.005702688,0.640900016,1.076919588,0.005727019,0.652700007,2.446638827,0.005706542,0.686200023,1.084847024,0.005682652,0.634800017,1.097514002,0.005754484,0.68720001,1.082333812,0.00575833,0.705200016,1.093759815,0.005881067,0.673300028,1.078307072,0.005710276,0.65990001,1.08013598,0.00577356,0.714999974,1.103394579,0.006065882,0.684899986,1.080357865,0.005770709,0.684199989,1.08361317,0.006336378,0.700800002,1.089984513,0.005995192,0.682699978,1.082390498,0.006211725,0.665300012,1.123357481,0.005879359,0.662800014,1.146252952,0.005494231
2.0,0.700399995,1.069847905,0.008214486,0.698800027,1.083482955,0.00560916,0.666899979,1.078501463,0.005842626,0.679700017,1.055653218,0.005311361,0.677100003,1.067679477,0.005412147,0.690400004,1.077132536,0.005312328,0.697000027,1.148997098,0.00541403,0.703000009,1.149556223,0.00556541,0.693899989,1.127908143,0.005185274,0.722899973,1.106816073,0.005391055,0.675300002,1.106042218,0.00557851,0.698700011,1.09101828,0.005546249,0.694199979,1.078018671,0.005509735,0.691299975,1.072710098,0.005315091,0.689100027,1.109639034,0.005463056,0.673200011,1.068416496,0.005312959,0.702499986,1.106931024,0.005466007,0.693099976,1.071704259,0.005847172,0.69690001,2.4145058,0.00532826,0.708100021,1.096685528,0.005329282,0.716899991,1.122639307,0.005559916,0.700900018,1.10520474,0.005325097,0.675899982,1.10029414,0.005335211,0.700999975,1.097635793,0.005390387,0.691699982,1.088060833,0.005773126,0.703700006,1.083067031,0.005576319,0.720799983,1.087387941,0.00515934,0.688199997,1.079001602,0.005452481,0.688399971,1.074076334,0.005293615,0.690999985,1.075227931,0.005367136,0.648800015,2.324839092,0.005471497,0.72359997,1.09429968,0.005304307,0.719299972,1.123678165,0.00532568,0.694400012,1.078510247,0.005379087,0.686800003,1.080861756,0.005288855,0.693700016,1.08047061,0.005202853,0.651000023,1.128493108,0.005135124,0.694299996,1.090322419,0.005350338,0.693199992,1.089555357,0.005225107,0.627200007,1.075744582,0.005212432,0.7051,1.067269196,0.005445106,0.721499979,1.076632709,0.005167692,0.707099974,2.714965281,0.005274226,0.699100018,1.09953306,0.006462519,0.707099974,1.077162652,0.005709384,0.715699971,1.080208845,0.005442908,0.690900028,1.08742433,0.005890027,0.713800013,1.060012554,0.005256302,0.693799973,1.081890621,0.005538823,0.690199971,1.088550487,0.005512118,0.700399995,1.069847905,0.008214486
3.0,0.700399995,1.069847905,0.005611244,0.717199981,1.079044174,0.006210508,0.664399981,1.078047245,0.005634612,0.695900023,1.131628193,0.005906701,0.691200018,1.101807093,0.005721624,0.716700017,1.074273792,0.005593908,0.710399985,1.072450729,0.005460261,0.707499981,1.085021612,0.005462677,0.718599975,1.083071877,0.005499174,0.728999972,1.084544538,0.005802212,0.686200023,1.086684827,0.005917405,0.707199991,2.42961731,0.00594518,0.701799989,1.067269401,0.005942853,0.693400025,1.102626838,0.005701707,0.700399995,1.119609344,0.00572694,0.685000002,1.096600033,0.00565382,0.713,1.107488931,0.005501794,0.706099987,1.097623333,0.005602212,0.717700005,1.074089997,0.005870005,0.719799995,1.079955177,0.005570672,0.731299996,1.073486683,0.005528202,0.72329998,1.067931875,0.005379267,0.709800005,1.080369561,0.005420994,0.700100005,1.142856644,0.005919307,0.708599985,2.431962195,0.005778521,0.707000017,1.128230011,0.005438765,0.729200006,1.126815069,0.006197656,0.703400016,1.111382546,0.005505633,0.700900018,1.082338437,0.005516219,0.705299973,1.103484661,0.006470993,0.675599992,1.083518763,0.005501815,0.735599995,1.079966916,0.005499423,0.727199972,1.077442388,0.005481469,0.706900001,1.087900006,0.005542229,0.702400029,1.075472816,0.005516204,0.714399993,1.07596511,0.005453602,0.655600011,1.070941829,0.005342509,0.712899983,1.09556827,0.005531466,0.706900001,1.078112113,0.005567849,0.628600001,1.113582129,0.005400623,0.708299994,1.079924842,0.005421363,0.729700029,1.10024973,0.005567371,0.719900012,1.080637114,0.005762902,0.712100029,1.079856996,0.00631223,0.733699977,1.087277263,0.006024325,0.731400013,1.128282209,0.005497489,0.698099971,1.087733751,0.005593566,0.728900015,1.071890352,0.005505864,0.709599972,2.429910132,0.005524042,0.702899992,1.09767046,0.005562382,0.700399995,1.069847905,0.005611244
4.0,0.717800021,1.084760375,0.006684694,0.717299998,1.080677708,0.005823018,0.668900013,1.069150127,0.005277656,0.702300012,1.080445453,0.00534693,0.690900028,1.070702981,0.005391933,0.708500028,1.101888054,0.005297041,0.718999982,1.098067493,0.005342864,0.699699998,1.096531357,0.005356883,0.722899973,1.082025802,0.005293465,0.735499978,1.07328818,0.005261145,0.689599991,1.075822375,0.005515492,0.721300006,1.109901451,0.005358499,0.697799981,1.105196724,0.005526746,0.691500008,1.077419023,0.005363022,0.700100005,1.074690961,0.005334567,0.701499999,1.07510538,0.005282839,0.728200018,1.081883321,0.005407056,0.718400002,1.083488986,0.005402843,0.726599991,2.38069891,0.005383899,0.730499983,1.111848096,0.005367686,0.735300004,1.102433561,0.005269013,0.73269999,1.137310925,0.005415085,0.701399982,1.076232362,0.005326629,0.710200012,1.088756177,0.005566031,0.7148,1.096016175,0.005683654,0.7148,1.082508933,0.005269936,0.733200014,1.110141867,0.005252022,0.708500028,1.079572557,0.005713852,0.703800023,1.061801019,0.005480141,0.718599975,1.09360262,0.005314153,0.661800027,2.406803501,0.005322838,0.738699973,1.095460966,0.005277774,0.7245,1.091225971,0.005371201,0.709399998,1.08465686,0.005263629,0.694100022,1.094089766,0.005303049,0.726100028,1.090580875,0.00531553,0.666299999,1.08530951,0.005235802,0.711899996,1.080168839,0.00530315,0.710300028,1.08227389,0.005299914,0.641900003,1.071001855,0.005273663,0.705299973,1.101775482,0.005262063,0.735899985,1.082992192,0.005494674,0.726700008,1.07071755,0.005322821,0.715900004,2.368321897,0.005989254,0.736500025,1.093940683,0.005395395,0.735599995,1.080578729,0.00524388,0.728200018,1.087336995,0.005338276,0.736299992,1.082946697,0.005427921,0.708400011,1.082935061,0.00530669,0.7051,1.09139674,0.005415828,0.717800021,1.084760375,0.006684694
5.0,0.717800021,1.084760375,0.005645797,0.712300003,1.107523896,0.006880959,0.681100011,1.101667196,0.006036591,0.702000022,1.094470092,0.006390739,0.69660002,1.07190555,0.00591215,0.732500017,1.093219309,0.006155199,0.722599983,1.081285212,0.006046587,0.710699975,1.088985989,0.005908697,0.724099994,1.086024494,0.005911291,0.741599977,1.104345089,0.006006714,0.687099993,1.065867077,0.006079459,0.725099981,1.076382472,0.00585048,0.712300003,1.093303482,0.006405337,0.702000022,2.44047406,0.005881772,0.69630003,1.119527087,0.006627721,0.702300012,1.084841842,0.006146213,0.725700021,1.082520556,0.006489966,0.726899981,1.085746997,0.005869193,0.724699974,1.090841142,0.00590766,0.729799986,1.071241997,0.005774167,0.739600003,1.086939438,0.005846155,0.739600003,1.08496414,0.005870204,0.711300015,1.067870858,0.006002417,0.719600022,1.094852798,0.005915317,0.721599996,1.065566361,0.005780618,0.713800013,2.535564783,0.006059655,0.730700016,1.118124207,0.00572705,0.703199983,1.115767675,0.007519294,0.70389998,1.099880073,0.005704504,0.712599993,1.11622104,0.005988917,0.658500016,1.090599999,0.006481497,0.74150002,1.097413817,0.005675734,0.726300001,1.077661131,0.005976176,0.712700009,1.070782767,0.005662598,0.701499999,1.101688897,0.00598228,0.722199976,1.07335497,0.005645096,0.687099993,1.075143837,0.005784647,0.717999995,1.078797783,0.005899893,0.712700009,1.126097356,0.005722268,0.655200005,1.118994775,0.005584831,0.706499994,1.09182829,0.00691729,0.737100005,1.112262001,0.006111214,0.731599987,1.079166017,0.005662159,0.716099977,1.09194538,0.005531931,0.742500007,1.080011432,0.005347441,0.74180001,1.08810324,0.005886409,0.730599999,1.086987656,0.006080193,0.739300013,1.093514659,0.005903173,0.711399972,1.082298399,0.006119472,0.708899975,2.403849633,0.006058499,0.717800021,1.084760375,0.005645797
6.0,0.727900028,1.078658002,0.007355653,0.71359998,1.069470116,0.005825202,0.66930002,1.083280073,0.005334114,0.702899992,1.075007768,0.005376375,0.699599981,1.075499714,0.005524697,0.732900023,1.061955307,0.005717441,0.726000011,1.087249849,0.005816686,0.709599972,2.571796552,0.005832684,0.716799974,1.108940542,0.00552606,0.743799984,1.09534588,0.005294226,0.692200005,1.088017055,0.005378352,0.721199989,1.08038425,0.005926448,0.717700005,1.061049882,0.005825181,0.703999996,1.081642817,0.005309608,0.721099973,1.095940014,0.005331377,0.714399993,1.074244958,0.005605305,0.728200018,1.066249961,0.005815722,0.734099984,1.067505747,0.005329073,0.730599999,1.11386372,0.005741528,0.735800028,1.072631229,0.005418205,0.74059999,1.111107077,0.005851322,0.744000018,1.111987727,0.005375119,0.720200002,1.120015874,0.005241167,0.717400014,1.082098516,0.005578791,0.731599987,1.086176019,0.005464968,0.722899973,1.081855956,0.005517071,0.734300017,1.089415932,0.005634924,0.71390003,1.082117145,0.006969491,0.706499994,1.080266719,0.005614353,0.726100028,1.069772877,0.005443895,0.670000017,1.067835532,0.006540951,0.744499981,1.078396519,0.006218146,0.727299988,2.510447911,0.005362667,0.711600006,1.120345002,0.005407787,0.703199983,1.12629625,0.005555406,0.720899999,1.122110999,0.005421621,0.688600004,1.118065894,0.005376282,0.724300027,1.120867318,0.005585266,0.71329999,1.095332996,0.005413562,0.682299972,1.101523076,0.006778979,0.712300003,1.094351428,0.005897469,0.737200022,1.079043583,0.0054514,0.731700003,1.077124937,0.005221216,0.715799987,1.060109793,0.005324664,0.745999992,1.075776433,0.005233725,0.739600003,1.105985003,0.005406203,0.735899985,1.138912096,0.005729526,0.736999989,1.106410444,0.005280814,0.720099986,1.101122385,0.00541862,0.71329999,1.08350528,0.005513577,0.727900028,1.078658002,0.007355653
7.0,0.727900028,1.078658002,0.005490807,0.712400019,1.127475308,0.005669954,0.669200003,1.070160933,0.00557456,0.704999983,1.11931176,0.006748507,0.693499982,1.105268272,0.005479219,0.725199997,1.091877927,0.005345292,0.723699987,1.098858834,0.005412854,0.70599997,1.079587289,0.005414436,0.715600014,1.083740172,0.005458731,0.739600003,1.071488309,0.005360917,0.691600025,1.066584892,0.005342348,0.739499986,1.072872462,0.005437383,0.716600001,1.099234979,0.005570396,0.706499994,1.060774703,0.005425044,0.710200012,1.068853984,0.005353814,0.716700017,3.001290807,0.005286604,0.725000024,1.117755788,0.005437468,0.73180002,1.114178615,0.005313291,0.732599974,1.102715603,0.006519306,0.735899985,1.097072299,0.005420409,0.740400016,1.133715384,0.005392606,0.727400005,1.083506022,0.005307048,0.717100024,1.07785162,0.00537122,0.704400003,1.106293803,0.005530857,0.730499983,1.073100739,0.005492272,0.721899986,1.068298705,0.005462531,0.734099984,1.082281106,0.00524975,0.722299993,1.074127108,0.005387543,0.71509999,1.110932725,0.005381566,0.710399985,1.099184678,0.005171094,0.659300029,1.094621497,0.005365143,0.739199996,1.080774802,0.005728334,0.729099989,1.083829889,0.005661664,0.705600023,1.082674123,0.005916725,0.717599988,1.082923397,0.005365579,0.723200023,1.076651447,0.005638901,0.690999985,1.067684839,0.005324883,0.717700005,1.072625184,0.005259264,0.709599972,1.080185982,0.005653423,0.683099985,1.081154769,0.005224766,0.702099979,2.685473953,0.006501202,0.734499991,1.116789176,0.005555993,0.7324,1.105653227,0.005511913,0.710200012,1.18748851,0.005315545,0.743499994,1.084259504,0.005376347,0.73180002,1.124130003,0.005268003,0.734499991,1.090737009,0.005310563,0.736599982,1.068153352,0.005419556,0.725300014,1.052931699,0.005329488,0.710500002,1.088754633,0.005393609,0.727900028,1.078658002,0.005490807
8.0,0.731599987,1.076063454,0.00735156,0.710399985,1.081376155,0.005900537,0.674000025,1.092294,0.005226681,0.699000001,1.083753927,0.005648533,0.691699982,1.091776888,0.005664266,0.721700013,1.081268482,0.005265279,0.715499997,1.068437512,0.005270707,0.697899997,1.073010032,0.005424447,0.712599993,1.067535813,0.005252342,0.736999989,1.062221814,0.005265955,0.695299983,1.11794799,0.005608111,0.74000001,1.124640424,0.005314647,0.723200023,1.0798873,0.005860401,0.703199983,1.10414709,0.005506542,0.714900017,1.098374551,0.005593503,0.722000003,1.12879107,0.005204605,0.728799999,1.091570487,0.005207573,0.725600004,1.073364563,0.005863898,0.728999972,1.085992035,0.005311642,0.73150003,1.075950253,0.005362167,0.738300025,1.058568042,0.005302147,0.725600004,1.06255706,0.005304066,0.712100029,2.381427623,0.005241083,0.697099984,1.076422101,0.005748604,0.721899986,1.100798826,0.005328608,0.712199986,1.087288999,0.005283438,0.734300017,1.085262381,0.005625036,0.714299977,1.083351625,0.005373792,0.716199994,1.084346633,0.005554733,0.711000025,1.077823249,0.005176035,0.648899972,1.067342274,0.006220378,0.737500012,1.065073119,0.005208852,0.727299988,1.102458723,0.006202522,0.704999983,1.056472038,0.005320176,0.718900025,1.075996145,0.005574812,0.718699992,1.052266856,0.005187043,0.692799985,1.09244205,0.006207309,0.714999974,1.112322085,0.00595755,0.711399972,1.087705453,0.005514312,0.676900029,1.118181399,0.005319941,0.700500011,1.074858921,0.005241102,0.725899994,1.073427297,0.005311716,0.731100023,1.077552543,0.005189612,0.707499981,1.074768809,0.005209301,0.738300025,1.077539441,0.005004969,0.727800012,1.068158979,0.005337681,0.735300004,2.469171509,0.005380572,0.730000019,1.102275193,0.005302947,0.719099998,1.163660389,0.005273184,0.708199978,1.110907545,0.005365335,0.731599987,1.076063454,0.00735156
9.0,0.731599987,1.076063454,0.005365919,0.708000004,1.062615643,0.006111915,0.674899995,1.069847618,0.00558895,0.701600015,1.063924853,0.005507214,0.695500016,1.054848255,0.005497109,0.727500021,1.067405165,0.005672863,0.705299973,1.120927327,0.005365722,0.712300003,1.092190794,0.005503841,0.71390003,1.092842515,0.005470412,0.736400008,1.095333414,0.005539514,0.691999972,1.085983812,0.005507082,0.739099979,1.073685666,0.005578517,0.726100028,2.48429668,0.0056766,0.708000004,1.074455181,0.00548054,0.711700022,1.069049375,0.005460734,0.717299998,1.060059322,0.005383816,0.719099998,1.061116596,0.005285623,0.718400002,1.069685429,0.005518465,0.73360002,2.528282806,0.005719148,0.726300001,1.153615394,0.005459756,0.736299992,1.090467668,0.005484515,0.722599983,1.092284794,0.00558953,0.713400006,1.101317841,0.005310394,0.697399974,1.105151336,0.005522192,0.719500005,1.082062908,0.00553234,0.709800005,1.086538156,0.005497163,0.731999993,1.061533289,0.005278493,0.710699975,1.085332536,0.005471167,0.717999995,1.076454459,0.005451492,0.714299977,1.071568973,0.005484978,0.656700015,1.056115717,0.005924112,0.733099997,1.129772648,0.005386189,0.728600025,1.095265348,0.005164353,0.699999988,1.098428552,0.005819826,0.724399984,1.093211635,0.005492494,0.7227,1.099395069,0.005709431,0.693899989,1.082730981,0.005845867,0.708700001,1.091403832,0.006780608,0.707199991,1.117081285,0.005945636,0.668900013,1.098688937,0.005830387,0.699100018,1.063304296,0.005500583,0.728699982,1.060896158,0.005447551,0.727599978,1.067317376,0.005287267,0.708100021,1.076620831,0.005699812,0.737600029,1.120239005,0.005306384,0.73210001,1.107591942,0.005551969,0.734099984,1.100745994,0.006038277,0.729099989,1.078532028,0.005503669,0.710500002,1.080136683,0.005389477,0.705799997,1.071712926,0.005656731,0.731599987,1.076063454,0.005365919
